date,payment_type,transactions,quantity,purchase_revenue
2023-02-01,Klarna,214,603,34616.22
2023-02-01,MasterCard,188,476,26990.67
2023-02-01,PayPal,143,365,20669.07
2023-02-01,Visa,532,1320,74063.66
2023-02-02,AFTERPAY_PBI,321,811,51804.52
2023-02-02,AMAZON_PAYMENTS,37,98,6759.05
2023-02-02,Amex,31,95,5193.66
2023-02-02,Discover,15,44,2750.34
2023-02-02,DW_APPLE_PAY,131,291,19182.43
2023-02-02,FLOW_HOSTED_CHECKOUT,24,50,8501.36
2023-02-02,GIFT_CERTIFICATE,3,12,395.58
2023-02-02,Klarna,262,688,40653.44
2023-02-02,MasterCard,227,544,30587.94
2023-02-02,PayPal,139,371,22484.83
2023-02-02,Visa,617,1507,91519.88
2023-02-03,AFTERPAY_PBI,325,859,51187.55
2023-02-03,AMAZON_PAYMENTS,40,87,5217.21
2023-02-03,Amex,34,129,6493.37
2023-02-03,Discover,10,40,2286.16
2023-02-03,DW_APPLE_PAY,167,383,22913.19
2023-02-03,FLOW_HOSTED_CHECKOUT,22,32,5324.97
2023-02-03,GIFT_CERTIFICATE,1,3,221.77
2023-02-03,Klarna,254,642,37175.93
2023-02-03,MasterCard,183,433,24087.86
2023-02-03,PayPal,165,501,28083.81
2023-02-03,Visa,623,1559,85360.05
2023-02-04,AFTERPAY_PBI,294,806,43509.01
2023-02-04,AMAZON_PAYMENTS,41,114,6307.26
2023-02-04,Amex,31,94,5063.85
2023-02-04,Discover,12,45,2263.46
2023-02-04,DW_APPLE_PAY,133,327,19533.24
2023-02-04,FLOW_HOSTED_CHECKOUT,12,36,6132.9
2023-02-04,GIFT_CERTIFICATE,3,6,667.88
2023-02-04,Klarna,210,552,33006.6
2023-02-04,MasterCard,201,480,27388.29
2023-02-04,PayPal,150,444,24275.46
2023-02-04,Visa,544,1345,72966.15
2023-02-05,AFTERPAY_PBI,287,814,48513.46
2023-02-05,AMAZON_PAYMENTS,34,113,5728.79
2023-02-05,Amex,33,110,6233.25
2023-02-05,Discover,17,48,3460.92
2023-02-05,DW_APPLE_PAY,126,318,18006.66
2023-02-05,FLOW_HOSTED_CHECKOUT,20,43,6481.28
2023-02-05,GIFT_CERTIFICATE,3,8,425.47
2023-02-05,Klarna,240,627,35579.74
2023-02-05,MasterCard,180,491,25263.58
2023-02-05,PayPal,163,471,24951.85
2023-02-05,Visa,600,1460,82096.11
2023-02-06,AFTERPAY_PBI,245,619,37054.82
2023-02-06,AMAZON_PAYMENTS,24,55,3871.86
2023-02-06,Amex,24,61,3835.07
2023-02-06,Discover,13,36,2132.78
2023-02-06,DW_APPLE_PAY,130,268,18518.95
2023-02-06,FLOW_HOSTED_CHECKOUT,24,54,8050.49
2023-02-06,GIFT_CERTIFICATE,2,6,289.44
2023-02-06,Klarna,195,500,29653.13
2023-02-06,MasterCard,174,461,26891.97
2023-02-06,PayPal,131,390,20766.75
2023-02-06,Visa,452,1127,63519.55
2023-02-07,AFTERPAY_PBI,255,700,39672.02
2023-02-07,AMAZON_PAYMENTS,41,92,5560.35
2023-02-07,Amex,24,93,4652.31
2023-02-07,Discover,19,56,2955.54
2023-02-07,DW_APPLE_PAY,116,238,14834.35
2023-02-07,FLOW_HOSTED_CHECKOUT,10,20,3403.26
2023-02-07,GIFT_CERTIFICATE,2,4,175.76
2023-02-07,Klarna,156,444,23954.9
2023-02-07,MasterCard,166,388,23227.11
2023-02-07,PayPal,155,481,26539.47
2023-02-07,Visa,495,1277,72234.63
2023-02-08,AFTERPAY_PBI,271,721,41322.92
2023-02-08,AMAZON_PAYMENTS,41,127,6746.64
2023-02-08,Amex,30,105,5595.23
2023-02-08,Discover,10,22,1289.84
2023-02-08,DW_APPLE_PAY,145,351,21912.33
2023-02-08,FLOW_HOSTED_CHECKOUT,23,29,5341.06
2023-02-08,GIFT_CERTIFICATE,2,2,146.71
2023-02-08,Klarna,237,665,38873.15
2023-02-08,MasterCard,198,574,32078.74
2023-02-08,PayPal,152,399,23205.92
2023-02-08,Visa,592,1407,83655.32
2023-02-09,AFTERPAY_PBI,272,731,41380.32
2023-02-09,AMAZON_PAYMENTS,29,79,5183.42
2023-02-09,Amex,21,57,3701.17
2023-02-09,Discover,13,32,2038.15
2023-02-09,DW_APPLE_PAY,109,234,13866.04
2023-02-09,FLOW_HOSTED_CHECKOUT,11,22,3513.7
2023-02-09,GIFT_CERTIFICATE,1,3,131.26
2023-02-09,Klarna,222,574,33446.8
2023-02-09,MasterCard,143,399,21364.48
2023-02-09,PayPal,117,327,18518.6
2023-02-09,Visa,491,1331,75141.96
2023-02-10,AFTERPAY_PBI,279,732,44138.79
2023-02-10,AMAZON_PAYMENTS,37,114,6338.5
2023-02-10,Amex,25,70,4655.58
2023-02-10,Discover,17,41,2320.48
2023-02-10,DW_APPLE_PAY,121,248,15371.5
2023-02-10,FLOW_HOSTED_CHECKOUT,17,18,3536.35
2023-02-10,GIFT_CERTIFICATE,5,11,675.91
2023-02-10,Klarna,218,593,34283
2023-02-10,MasterCard,176,441,25438.21
2023-02-10,PayPal,134,369,20487.7
2023-02-10,Visa,507,1231,71147.51
2023-02-11,AFTERPAY_PBI,262,685,40946.42
2023-02-11,AMAZON_PAYMENTS,31,70,4628.62
2023-02-11,Amex,28,62,4513.82
2023-02-11,Discover,19,68,3938.24
2023-02-11,DW_APPLE_PAY,116,223,15281.69
2023-02-11,FLOW_HOSTED_CHECKOUT,14,21,4658.97
2023-02-11,GIFT_CERTIFICATE,3,4,249.75
2023-02-11,Klarna,200,548,29082.11
2023-02-11,MasterCard,164,379,22739.51
2023-02-11,PayPal,134,375,21180.74
2023-02-11,Visa,508,1229,69821.36
2023-02-12,AFTERPAY_PBI,223,701,36745.23
2023-02-12,AMAZON_PAYMENTS,45,169,8274.26
2023-02-12,Amex,29,89,5936.99
2023-02-12,Discover,17,43,2977.44
2023-02-12,DW_APPLE_PAY,107,311,15083.01
2023-02-12,FLOW_HOSTED_CHECKOUT,11,36,7573.07
2023-02-12,GIFT_CERTIFICATE,3,12,546.71
2023-02-12,Klarna,205,579,31404.93
2023-02-12,MasterCard,170,519,27645.08
2023-02-12,PayPal,140,473,24470.44
2023-02-12,Visa,462,1363,73142.18
2023-02-13,AFTERPAY_PBI,240,772,41027.44
2023-02-13,AMAZON_PAYMENTS,43,113,6863
2023-02-13,Amex,26,96,5162.06
2023-02-13,Discover,9,23,1584.72
2023-02-13,DW_APPLE_PAY,115,282,16563.81
2023-02-13,FLOW_HOSTED_CHECKOUT,21,48,6362.42
2023-02-13,GIFT_CERTIFICATE,3,14,430.92
2023-02-13,Klarna,159,489,26039.62
2023-02-13,MasterCard,149,412,23200.21
2023-02-13,PayPal,145,471,24208.23
2023-02-13,Visa,441,1243,66478.9
2023-02-14,AFTERPAY_PBI,203,530,30073.92
2023-02-14,AMAZON_PAYMENTS,31,73,4537.41
2023-02-14,Amex,23,75,4041.49
2023-02-14,Discover,18,56,2569.69
2023-02-14,DW_APPLE_PAY,102,229,12985.63
2023-02-14,FLOW_HOSTED_CHECKOUT,10,17,3449.84
2023-02-14,GIFT_CERTIFICATE,2,21,351.79
2023-02-14,Klarna,158,394,22221.84
2023-02-14,MasterCard,154,382,22791.64
2023-02-14,PayPal,129,342,18668.2
2023-02-14,Visa,495,1276,70514.06
2023-02-15,AFTERPAY_PBI,223,606,33476.69
2023-02-15,AMAZON_PAYMENTS,32,93,5320.5
2023-02-15,Amex,25,107,5321.8
2023-02-15,Discover,15,37,1972.41
2023-02-15,DW_APPLE_PAY,120,251,14893.92
2023-02-15,FLOW_HOSTED_CHECKOUT,13,21,4299.64
2023-02-15,GIFT_CERTIFICATE,2,3,248.19
2023-02-15,Klarna,190,502,28461.91
2023-02-15,MasterCard,165,435,23781.63
2023-02-15,PayPal,131,358,21614.95
2023-02-15,Visa,510,1428,78448.38
2023-02-16,AFTERPAY_PBI,328,978,52316.63
2023-02-16,AMAZON_PAYMENTS,37,120,5964.83
2023-02-16,Amex,36,117,6189.43
2023-02-16,Discover,14,34,1781.6
2023-02-16,DW_APPLE_PAY,144,372,20031.95
2023-02-16,FLOW_HOSTED_CHECKOUT,17,30,5966.79
2023-02-16,GIFT_CERTIFICATE,5,33,1199.62
2023-02-16,Klarna,212,661,35061.05
2023-02-16,MasterCard,198,662,32345.16
2023-02-16,PayPal,174,624,30143.23
2023-02-16,Visa,649,1980,105551.38
2023-02-17,AFTERPAY_PBI,313,1031,49465.28
2023-02-17,AMAZON_PAYMENTS,31,127,5604.68
2023-02-17,Amex,42,165,7952.79
2023-02-17,Discover,18,61,3416.33
2023-02-17,DW_APPLE_PAY,152,383,22449.33
2023-02-17,FLOW_HOSTED_CHECKOUT,15,28,4931.8
2023-02-17,GIFT_CERTIFICATE,6,10,710.87
2023-02-17,Klarna,273,775,41309.58
2023-02-17,MasterCard,211,652,34824.98
2023-02-17,PayPal,181,619,30148.98
2023-02-17,Visa,701,2370,110711.45
2023-02-18,AFTERPAY_PBI,327,1007,50455.59
2023-02-18,AMAZON_PAYMENTS,51,181,9460.04
2023-02-18,Amex,37,134,7742.42
2023-02-18,Discover,24,68,2812.2
2023-02-18,DW_APPLE_PAY,141,360,19190.83
2023-02-18,FLOW_HOSTED_CHECKOUT,14,28,4408.41
2023-02-18,GIFT_CERTIFICATE,4,10,560.96
2023-02-18,Klarna,281,935,46033.79
2023-02-18,MasterCard,207,537,30265.59
2023-02-18,PayPal,195,653,32601.64
2023-02-18,Visa,638,2100,101163.78
2023-02-19,AFTERPAY_PBI,376,1265,64104.76
2023-02-19,AMAZON_PAYMENTS,54,207,9119.1
2023-02-19,Amex,43,173,9600.5
2023-02-19,Discover,17,59,3065.76
2023-02-19,DW_APPLE_PAY,181,517,25016.84
2023-02-19,FLOW_HOSTED_CHECKOUT,12,25,3780.59
2023-02-19,GIFT_CERTIFICATE,2,5,237.48
2023-02-19,Klarna,318,1051,50376.84
2023-02-19,MasterCard,228,687,35454.03
2023-02-19,PayPal,220,795,40060.19
2023-02-19,Visa,768,2470,119915.96
2023-02-20,AFTERPAY_PBI,369,1175,59245.3
2023-02-20,AMAZON_PAYMENTS,56,206,9903.25
2023-02-20,Amex,59,185,11322.77
2023-02-20,Discover,34,100,5678.02
2023-02-20,DW_APPLE_PAY,189,501,28579.45
2023-02-20,FLOW_HOSTED_CHECKOUT,16,37,6540.37
2023-02-20,GIFT_CERTIFICATE,5,19,834.9
2023-02-20,Klarna,274,972,46012.76
2023-02-20,MasterCard,263,847,43411.54
2023-02-20,PayPal,202,685,32667.75
2023-02-20,Visa,821,2627,128765.78
2023-02-21,AFTERPAY_PBI,283,877,44814.72
2023-02-21,AMAZON_PAYMENTS,48,222,9511.43
2023-02-21,Amex,31,97,5080.43
2023-02-21,Discover,14,70,2927.08
2023-02-21,DW_APPLE_PAY,150,375,20326.56
2023-02-21,FLOW_HOSTED_CHECKOUT,8,24,5911.34
2023-02-21,GIFT_CERTIFICATE,5,18,955.53
2023-02-21,Klarna,199,676,33106.21
2023-02-21,MasterCard,189,552,28732.81
2023-02-21,PayPal,122,477,23913.99
2023-02-21,Visa,588,1940,95991.26
2023-02-22,AFTERPAY_PBI,304,990,51428.14
2023-02-22,AMAZON_PAYMENTS,49,155,8201.44
2023-02-22,Amex,55,244,10653.24
2023-02-22,Discover,18,49,2972.91
2023-02-22,DW_APPLE_PAY,181,532,26906.78
2023-02-22,FLOW_HOSTED_CHECKOUT,12,19,4008.85
2023-02-22,GIFT_CERTIFICATE,2,3,252.46
2023-02-22,Klarna,292,990,50457.29
2023-02-22,MasterCard,303,992,50464.93
2023-02-22,PayPal,201,738,33592.92
2023-02-22,Visa,800,2615,132208.9
2023-02-23,AFTERPAY_PBI,290,963,45965.02
2023-02-23,AMAZON_PAYMENTS,43,120,6707.51
2023-02-23,Amex,29,152,7404.58
2023-02-23,Discover,15,54,2206.5
2023-02-23,DW_APPLE_PAY,175,470,22063.31
2023-02-23,FLOW_HOSTED_CHECKOUT,15,32,5655.98
2023-02-23,GIFT_CERTIFICATE,3,13,453.26
2023-02-23,Klarna,260,875,40326.85
2023-02-23,MasterCard,262,851,40019.26
2023-02-23,PayPal,131,463,19737.25
2023-02-23,Visa,782,2501,110237.84
2023-02-24,AFTERPAY_PBI,342,1130,54401.33
2023-02-24,AMAZON_PAYMENTS,46,154,8257.58
2023-02-24,Amex,31,152,8166.33
2023-02-24,Discover,14,43,2139.81
2023-02-24,DW_APPLE_PAY,175,510,23011.52
2023-02-24,FLOW_HOSTED_CHECKOUT,22,54,7578.73
2023-02-24,GIFT_CERTIFICATE,2,5,179.73
2023-02-24,Klarna,239,752,35595.62
2023-02-24,MasterCard,249,680,34948.04
2023-02-24,PayPal,186,660,27219.22
2023-02-24,Visa,725,2193,104421.83
2023-02-25,AFTERPAY_PBI,322,981,52157.62
2023-02-25,AMAZON_PAYMENTS,37,93,4963.52
2023-02-25,Amex,37,146,7914.41
2023-02-25,Discover,19,68,3190.78
2023-02-25,DW_APPLE_PAY,153,397,20180.1
2023-02-25,FLOW_HOSTED_CHECKOUT,14,21,3785.67
2023-02-25,GIFT_CERTIFICATE,17,193,3111.79
2023-02-25,Klarna,237,713,35788.4
2023-02-25,MasterCard,188,567,27080.56
2023-02-25,PayPal,146,498,21347.67
2023-02-25,Visa,628,2000,90293.78
2023-02-26,AFTERPAY_PBI,303,989,44979.85
2023-02-26,AMAZON_PAYMENTS,36,120,5865.13
2023-02-26,Amex,29,95,5522.29
2023-02-26,Discover,17,66,2629.51
2023-02-26,DW_APPLE_PAY,156,434,21254.32
2023-02-26,FLOW_HOSTED_CHECKOUT,15,24,4113.04
2023-02-26,GIFT_CERTIFICATE,2,4,116.08
2023-02-26,Klarna,231,729,37030.36
2023-02-26,MasterCard,197,598,27973.32
2023-02-26,PayPal,139,475,21882.22
2023-02-26,Visa,679,2058,99331.12
2023-02-27,AFTERPAY_PBI,254,791,38694.92
2023-02-27,AMAZON_PAYMENTS,29,102,4543.59
2023-02-27,Amex,24,72,3466.46
2023-02-27,Discover,19,53,3126.12
2023-02-27,DW_APPLE_PAY,133,316,16790.35
2023-02-27,FLOW_HOSTED_CHECKOUT,14,21,3722.61
2023-02-27,GIFT_CERTIFICATE,5,11,537.42
2023-02-27,Klarna,210,695,31295.69
2023-02-27,MasterCard,166,490,27193.46
2023-02-27,PayPal,134,423,19729.8
2023-02-27,Visa,592,1769,84229.25
2023-02-28,AFTERPAY_PBI,260,849,38532.56
2023-02-28,AMAZON_PAYMENTS,26,83,3950.86
2023-02-28,Amex,23,62,3611.21
2023-02-28,Discover,7,20,1093.44
2023-02-28,DW_APPLE_PAY,134,377,17758.05
2023-02-28,FLOW_HOSTED_CHECKOUT,16,24,4204.23
2023-02-28,GIFT_CERTIFICATE,1,2,187.76
2023-02-28,Klarna,177,601,27076.95
2023-02-28,MasterCard,188,550,25633.43
2023-02-28,PayPal,118,346,18584.39
2023-02-28,Visa,607,1886,85570.81
2023-03-01,AFTERPAY_PBI,289,894,42661.51
2023-03-01,AMAZON_PAYMENTS,40,136,5327.03
2023-03-01,Amex,27,104,5464.98
2023-03-01,Discover,10,42,1692.04
2023-03-01,DW_APPLE_PAY,144,352,18295.39
2023-03-01,FLOW_HOSTED_CHECKOUT,16,27,4264.11
2023-03-01,GIFT_CERTIFICATE,1,2,188.28
2023-03-01,Klarna,184,652,28579.81
2023-03-01,MasterCard,234,788,35416.12
2023-03-01,PayPal,142,458,20740.55
2023-03-01,Visa,619,1969,86484.77
2023-03-02,AFTERPAY_PBI,265,823,44481.52
2023-03-02,AMAZON_PAYMENTS,25,67,4190.39
2023-03-02,Amex,23,52,3375.4
2023-03-02,Discover,13,27,1802.63
2023-03-02,DW_APPLE_PAY,114,282,16450.32
2023-03-02,FLOW_HOSTED_CHECKOUT,9,19,2964.86
2023-03-02,GIFT_CERTIFICATE,1,2,86.04
2023-03-02,Klarna,219,604,33053.32
2023-03-02,MasterCard,179,463,23616.26
2023-03-02,PayPal,119,336,16404.95
2023-03-02,Visa,563,1574,82210.93
2023-03-03,AFTERPAY_PBI,384,1132,56911.52
2023-03-03,AMAZON_PAYMENTS,55,165,9212.08
2023-03-03,Amex,30,201,8330.34
2023-03-03,Discover,19,79,3553.97
2023-03-03,DW_APPLE_PAY,211,507,26052.12
2023-03-03,FLOW_HOSTED_CHECKOUT,15,22,3645.58
2023-03-03,GIFT_CERTIFICATE,10,46,2116.8
2023-03-03,Klarna,287,912,44078.62
2023-03-03,MasterCard,317,907,44872.93
2023-03-03,PayPal,245,706,36419.33
2023-03-03,Visa,828,2341,115543.99
2023-03-04,AFTERPAY_PBI,410,1160,62472.36
2023-03-04,AMAZON_PAYMENTS,72,197,9985.4
2023-03-04,Amex,43,162,8301.6
2023-03-04,Discover,28,80,5201.76
2023-03-04,DW_APPLE_PAY,200,552,30379.84
2023-03-04,FLOW_HOSTED_CHECKOUT,9,18,3151.87
2023-03-04,GIFT_CERTIFICATE,6,20,1060.15
2023-03-04,Klarna,322,971,49821.37
2023-03-04,MasterCard,292,839,42971.76
2023-03-04,PayPal,252,895,41646.54
2023-03-04,Visa,852,2500,121368.37
2023-03-05,AFTERPAY_PBI,307,914,49151.78
2023-03-05,AMAZON_PAYMENTS,34,94,5034.07
2023-03-05,Amex,36,111,6192.96
2023-03-05,Discover,12,27,1678.62
2023-03-05,DW_APPLE_PAY,142,343,17793.19
2023-03-05,FLOW_HOSTED_CHECKOUT,13,34,5045.35
2023-03-05,GIFT_CERTIFICATE,3,10,323.02
2023-03-05,Klarna,202,673,32203.08
2023-03-05,MasterCard,207,513,27591.85
2023-03-05,PayPal,132,394,22187.96
2023-03-05,Visa,579,1542,85078.42
2023-03-06,AFTERPAY_PBI,223,589,33695.56
2023-03-06,AMAZON_PAYMENTS,26,70,3665.74
2023-03-06,Amex,28,89,5601.9
2023-03-06,Discover,12,17,1325.7
2023-03-06,DW_APPLE_PAY,113,245,14553.27
2023-03-06,FLOW_HOSTED_CHECKOUT,9,24,3662.95
2023-03-06,GIFT_CERTIFICATE,2,9,479.38
2023-03-06,Klarna,153,461,22563.23
2023-03-06,MasterCard,143,387,20655.19
2023-03-06,PayPal,116,291,17172.93
2023-03-06,Visa,488,1313,69876.94
2023-03-07,AFTERPAY_PBI,228,669,35876.94
2023-03-07,AMAZON_PAYMENTS,27,67,4822.34
2023-03-07,Amex,28,104,5935.97
2023-03-07,Discover,17,64,2881.84
2023-03-07,DW_APPLE_PAY,125,284,17428.25
2023-03-07,FLOW_HOSTED_CHECKOUT,14,28,4472.75
2023-03-07,GIFT_CERTIFICATE,2,3,331.53
2023-03-07,Klarna,177,503,27357.42
2023-03-07,MasterCard,185,547,28210.21
2023-03-07,PayPal,139,371,19076.87
2023-03-07,Visa,492,1230,66362.11
2023-03-08,AFTERPAY_PBI,314,994,51102.28
2023-03-08,AMAZON_PAYMENTS,34,150,6198.18
2023-03-08,Amex,34,113,6449.62
2023-03-08,Discover,21,72,3908.23
2023-03-08,DW_APPLE_PAY,143,333,18066.38
2023-03-08,FLOW_HOSTED_CHECKOUT,13,31,4723.25
2023-03-08,GIFT_CERTIFICATE,4,7,521.44
2023-03-08,Klarna,236,786,39661.96
2023-03-08,MasterCard,207,678,35554.65
2023-03-08,PayPal,163,557,27815.04
2023-03-08,Visa,658,1935,97428.39
2023-03-09,AFTERPAY_PBI,318,1015,53785.28
2023-03-09,AMAZON_PAYMENTS,44,131,6123.9
2023-03-09,Amex,42,124,7537.31
2023-03-09,Discover,12,33,1955.56
2023-03-09,DW_APPLE_PAY,144,383,19499.07
2023-03-09,FLOW_HOSTED_CHECKOUT,18,34,5757.94
2023-03-09,GIFT_CERTIFICATE,3,3,217.72
2023-03-09,Klarna,237,703,35849.62
2023-03-09,MasterCard,198,586,30392.55
2023-03-09,PayPal,186,666,35896.76
2023-03-09,Visa,682,2116,100665.2
2023-03-10,AFTERPAY_PBI,314,989,49469.61
2023-03-10,AMAZON_PAYMENTS,23,100,4020.95
2023-03-10,Amex,17,63,2727.88
2023-03-10,Discover,12,35,1780.88
2023-03-10,DW_APPLE_PAY,158,401,20938.16
2023-03-10,FLOW_HOSTED_CHECKOUT,17,24,4591.65
2023-03-10,GIFT_CERTIFICATE,4,10,555.71
2023-03-10,Klarna,233,702,36767.38
2023-03-10,MasterCard,227,703,35589.98
2023-03-10,PayPal,163,628,28010.87
2023-03-10,Visa,683,2116,106371.16
2023-03-11,AFTERPAY_PBI,311,980,48814.62
2023-03-11,AMAZON_PAYMENTS,19,59,2997.16
2023-03-11,Amex,34,123,7431.75
2023-03-11,Discover,21,63,3744.14
2023-03-11,DW_APPLE_PAY,123,316,16410.4
2023-03-11,FLOW_HOSTED_CHECKOUT,15,26,4137.07
2023-03-11,GIFT_CERTIFICATE,2,3,140.46
2023-03-11,Klarna,231,713,36664.88
2023-03-11,MasterCard,181,515,27912.18
2023-03-11,PayPal,154,553,27019.69
2023-03-11,Visa,599,1717,88915.06
2023-03-12,AFTERPAY_PBI,285,867,44843.98
2023-03-12,AMAZON_PAYMENTS,21,60,3865.84
2023-03-12,Amex,41,172,7838.25
2023-03-12,Discover,20,61,3152.67
2023-03-12,DW_APPLE_PAY,146,373,20096.59
2023-03-12,FLOW_HOSTED_CHECKOUT,22,42,6704.21
2023-03-12,GIFT_CERTIFICATE,4,5,531.36
2023-03-12,Klarna,218,652,33866.39
2023-03-12,MasterCard,188,528,27208.31
2023-03-12,PayPal,136,419,22018.5
2023-03-12,Visa,572,1680,88176.45
2023-03-13,AFTERPAY_PBI,247,795,41911.72
2023-03-13,AMAZON_PAYMENTS,22,78,3386.59
2023-03-13,Amex,31,137,5880.8
2023-03-13,Discover,11,40,1851.92
2023-03-13,DW_APPLE_PAY,137,354,18892.87
2023-03-13,FLOW_HOSTED_CHECKOUT,14,24,4400.77
2023-03-13,GIFT_CERTIFICATE,5,9,451.02
2023-03-13,Klarna,198,598,30687.17
2023-03-13,MasterCard,189,629,33756.06
2023-03-13,PayPal,120,357,18251.61
2023-03-13,Visa,534,1641,81624.9
2023-03-14,AFTERPAY_PBI,241,731,38069.21
2023-03-14,AMAZON_PAYMENTS,21,72,5061.75
2023-03-14,Amex,32,124,7092.1
2023-03-14,Discover,14,68,3006.64
2023-03-14,DW_APPLE_PAY,150,372,19539.83
2023-03-14,FLOW_HOSTED_CHECKOUT,18,37,5624.32
2023-03-14,GIFT_CERTIFICATE,3,15,409.95
2023-03-14,Klarna,197,611,29808.97
2023-03-14,MasterCard,208,647,32666.18
2023-03-14,PayPal,147,420,22635.94
2023-03-14,Visa,558,1706,80936.13
2023-03-15,AFTERPAY_PBI,302,1024,50892.25
2023-03-15,AMAZON_PAYMENTS,18,40,2585.59
2023-03-15,Amex,24,84,5215.9
2023-03-15,Discover,11,41,1778.67
2023-03-15,DW_APPLE_PAY,156,419,22126.78
2023-03-15,FLOW_HOSTED_CHECKOUT,11,21,4386.41
2023-03-15,GIFT_CERTIFICATE,8,18,873.62
2023-03-15,Klarna,225,719,35762.36
2023-03-15,MasterCard,232,670,35279.96
2023-03-15,PayPal,140,481,22569.71
2023-03-15,Visa,696,2245,110669.69
2023-03-16,AFTERPAY_PBI,230,675,35574
2023-03-16,AMAZON_PAYMENTS,5,10,735.97
2023-03-16,Amex,19,77,4690.92
2023-03-16,Discover,5,13,603.71
2023-03-16,DW_APPLE_PAY,95,233,13835.81
2023-03-16,FLOW_HOSTED_CHECKOUT,13,15,2707.1
2023-03-16,GIFT_CERTIFICATE,3,5,285.73
2023-03-16,Klarna,168,490,27059.8
2023-03-16,MasterCard,156,435,24246.67
2023-03-16,PayPal,112,317,17093.96
2023-03-16,Visa,444,1137,62798.15
2023-03-17,AFTERPAY_PBI,225,668,38578.62
2023-03-17,AMAZON_PAYMENTS,14,42,2542.19
2023-03-17,Amex,16,48,2270.79
2023-03-17,Discover,8,14,821.27
2023-03-17,DW_APPLE_PAY,102,221,12456.53
2023-03-17,FLOW_HOSTED_CHECKOUT,15,34,5059.34
2023-03-17,GIFT_CERTIFICATE,4,6,428.22
2023-03-17,Klarna,167,525,28985.96
2023-03-17,MasterCard,163,422,24965.28
2023-03-17,PayPal,123,341,20577.62
2023-03-17,Visa,476,1320,70764.91
2023-03-18,AFTERPAY_PBI,284,897,42849.66
2023-03-18,AMAZON_PAYMENTS,14,71,2736.04
2023-03-18,Amex,25,106,4689.43
2023-03-18,Discover,9,44,1963.83
2023-03-18,DW_APPLE_PAY,128,310,16632.52
2023-03-18,FLOW_HOSTED_CHECKOUT,15,19,2734.41
2023-03-18,GIFT_CERTIFICATE,6,32,1003.61
2023-03-18,Klarna,199,618,29607.08
2023-03-18,MasterCard,190,568,26035.34
2023-03-18,PayPal,146,477,22037.92
2023-03-18,Visa,607,1837,82489.45
2023-03-19,AFTERPAY_PBI,332,993,48314.51
2023-03-19,AMAZON_PAYMENTS,16,63,3433.03
2023-03-19,Amex,22,88,4155.27
2023-03-19,Discover,9,23,1323.91
2023-03-19,DW_APPLE_PAY,178,504,23503.38
2023-03-19,FLOW_HOSTED_CHECKOUT,15,21,3884.73
2023-03-19,GIFT_CERTIFICATE,5,34,1143.69
2023-03-19,Klarna,246,716,34340.4
2023-03-19,MasterCard,240,743,34928.28
2023-03-19,PayPal,193,670,32670.75
2023-03-19,Visa,648,1866,89991.51
2023-03-20,AFTERPAY_PBI,195,488,27140.95
2023-03-20,AMAZON_PAYMENTS,18,49,3288.04
2023-03-20,Amex,18,48,3455.78
2023-03-20,Discover,16,47,2771.09
2023-03-20,DW_APPLE_PAY,100,227,12692.78
2023-03-20,FLOW_HOSTED_CHECKOUT,11,17,3370.36
2023-03-20,Klarna,163,482,26074.24
2023-03-20,MasterCard,145,369,20397.72
2023-03-20,PayPal,111,332,17392.53
