date,channel,user_type,quantity
2023-01-31,Paid Video,new,5
2023-01-31,Payment Redirects,(not set),7
2023-01-31,Payment Redirects,established,31
2023-01-31,Payment Redirects,new,39
2023-01-31,Referral,new,1
2023-01-31,SMS,(not set),25
2023-01-31,SMS,established,206
2023-01-31,SMS,new,312
2023-01-31,Unassigned,(not set),30
2023-01-31,Unassigned,established,7
2023-01-31,Unassigned,new,21
2023-02-01,Affiliates,(not set),5
2023-02-01,Affiliates,established,132
2023-02-01,Affiliates,new,223
2023-02-01,Direct,(not set),49
2023-02-01,Direct,established,152
2023-02-01,Direct,new,840
2023-02-01,Display,established,3
2023-02-01,Email,(not set),48
2023-02-01,Email,established,211
2023-02-01,Email,new,409
2023-02-01,Organic Search,(not set),7
2023-02-01,Organic Search,established,52
2023-02-01,Organic Search,new,252
2023-02-01,Organic Shopping,established,8
2023-02-01,Organic Shopping,new,4
2023-02-01,Organic Social,(not set),2
2023-02-01,Organic Social,established,7
2023-02-01,Organic Social,new,24
2023-02-01,Paid Search,(not set),27
2023-02-01,Paid Search,established,79
2023-02-01,Paid Search,new,775
2023-02-01,Paid Social,(not set),5
2023-02-01,Paid Social,established,122
2023-02-01,Paid Social,new,175
2023-02-01,Payment Redirects,(not set),12
2023-02-01,Payment Redirects,established,10
2023-02-01,Payment Redirects,new,53
2023-02-01,Referral,established,4
2023-02-01,Referral,new,2
2023-02-01,SMS,(not set),18
2023-02-01,SMS,established,193
2023-02-01,SMS,new,319
2023-02-01,Unassigned,(not set),25
2023-02-01,Unassigned,established,21
2023-02-01,Unassigned,new,24
2023-02-02,Affiliates,(not set),13
2023-02-02,Affiliates,established,100
2023-02-02,Affiliates,new,255
2023-02-02,Direct,(not set),28
2023-02-02,Direct,established,215
2023-02-02,Direct,new,918
2023-02-02,Email,(not set),34
2023-02-02,Email,established,317
2023-02-02,Email,new,466
2023-02-02,Organic Search,(not set),4
2023-02-02,Organic Search,established,49
2023-02-02,Organic Search,new,176
2023-02-02,Organic Shopping,established,7
2023-02-02,Organic Shopping,new,4
2023-02-02,Organic Social,established,4
2023-02-02,Organic Social,new,24
2023-02-02,Paid Search,(not set),28
2023-02-02,Paid Search,established,170
2023-02-02,Paid Search,new,706
2023-02-02,Paid Social,(not set),1
2023-02-02,Paid Social,established,117
2023-02-02,Paid Social,new,180
2023-02-02,Payment Redirects,(not set),19
2023-02-02,Payment Redirects,established,30
2023-02-02,Payment Redirects,new,63
2023-02-02,Referral,new,2
2023-02-02,SMS,(not set),52
2023-02-02,SMS,established,233
2023-02-02,SMS,new,424
2023-02-02,Unassigned,(not set),42
2023-02-02,Unassigned,established,66
2023-02-02,Unassigned,new,31
2023-02-03,Affiliates,(not set),25
2023-02-03,Affiliates,established,133
2023-02-03,Affiliates,new,343
2023-02-03,Direct,(not set),17
2023-02-03,Direct,established,177
2023-02-03,Direct,new,1031
2023-02-03,Email,(not set),61
2023-02-03,Email,established,273
2023-02-03,Email,new,459
2023-02-03,Organic Search,(not set),9
2023-02-03,Organic Search,established,48
2023-02-03,Organic Search,new,188
2023-02-03,Organic Shopping,new,6
2023-02-03,Organic Social,established,7
2023-02-03,Organic Social,new,30
2023-02-03,Paid Search,(not set),11
2023-02-03,Paid Search,established,218
2023-02-03,Paid Search,new,822
2023-02-03,Paid Social,(not set),8
2023-02-03,Paid Social,established,145
2023-02-03,Paid Social,new,170
2023-02-03,Paid Video,new,1
2023-02-03,Payment Redirects,(not set),5
2023-02-03,Payment Redirects,established,27
2023-02-03,Payment Redirects,new,69
2023-02-03,Referral,established,1
2023-02-03,Referral,new,1
2023-02-03,SMS,(not set),27
2023-02-03,SMS,established,247
2023-02-03,SMS,new,354
2023-02-03,Unassigned,(not set),42
2023-02-03,Unassigned,established,9
2023-02-03,Unassigned,new,33
2023-02-04,Affiliates,(not set),6
2023-02-04,Affiliates,established,67
2023-02-04,Affiliates,new,242
2023-02-04,Direct,(not set),35
2023-02-04,Direct,established,146
2023-02-04,Direct,new,749
2023-02-04,Email,(not set),73
2023-02-04,Email,established,359
2023-02-04,Email,new,479
2023-02-04,Organic Search,(not set),6
2023-02-04,Organic Search,established,52
2023-02-04,Organic Search,new,171
2023-02-04,Organic Shopping,established,6
2023-02-04,Organic Shopping,new,8
2023-02-04,Organic Social,established,4
2023-02-04,Organic Social,new,20
2023-02-04,Paid Search,(not set),15
2023-02-04,Paid Search,established,192
2023-02-04,Paid Search,new,750
2023-02-04,Paid Social,(not set),10
2023-02-04,Paid Social,established,84
2023-02-04,Paid Social,new,206
2023-02-04,Payment Redirects,(not set),28
2023-02-04,Payment Redirects,established,26
2023-02-04,Payment Redirects,new,48
2023-02-04,Referral,established,5
2023-02-04,Referral,new,2
2023-02-04,SMS,(not set),49
2023-02-04,SMS,established,156
2023-02-04,SMS,new,364
2023-02-04,Unassigned,(not set),38
2023-02-04,Unassigned,established,8
2023-02-04,Unassigned,new,63
2023-02-05,Affiliates,(not set),33
2023-02-05,Affiliates,established,70
2023-02-05,Affiliates,new,283
2023-02-05,Direct,(not set),42
2023-02-05,Direct,established,137
2023-02-05,Direct,new,957
2023-02-05,Display,established,4
2023-02-05,Email,(not set),27
2023-02-05,Email,established,314
2023-02-05,Email,new,467
2023-02-05,Organic Search,(not set),5
2023-02-05,Organic Search,established,69
2023-02-05,Organic Search,new,190
2023-02-05,Organic Shopping,established,2
2023-02-05,Organic Shopping,new,1
2023-02-05,Organic Social,established,1
2023-02-05,Organic Social,new,24
2023-02-05,Paid Search,(not set),42
2023-02-05,Paid Search,established,154
2023-02-05,Paid Search,new,788
2023-02-05,Paid Social,(not set),9
2023-02-05,Paid Social,established,67
2023-02-05,Paid Social,new,244
2023-02-05,Payment Redirects,(not set),10
2023-02-05,Payment Redirects,established,24
2023-02-05,Payment Redirects,new,86
2023-02-05,Referral,established,4
2023-02-05,Referral,new,2
2023-02-05,SMS,(not set),32
2023-02-05,SMS,established,197
2023-02-05,SMS,new,280
2023-02-05,Unassigned,(not set),59
2023-02-05,Unassigned,established,103
2023-02-05,Unassigned,new,28
2023-02-06,Affiliates,(not set),3
2023-02-06,Affiliates,established,74
2023-02-06,Affiliates,new,240
2023-02-06,Direct,(not set),30
2023-02-06,Direct,established,146
2023-02-06,Direct,new,730
2023-02-06,Email,(not set),49
2023-02-06,Email,established,236
2023-02-06,Email,new,408
2023-02-06,Organic Search,(not set),4
2023-02-06,Organic Search,established,35
2023-02-06,Organic Search,new,178
2023-02-06,Organic Shopping,new,1
2023-02-06,Organic Social,new,8
2023-02-06,Paid Search,(not set),14
2023-02-06,Paid Search,established,139
2023-02-06,Paid Search,new,708
2023-02-06,Paid Social,(not set),4
2023-02-06,Paid Social,established,92
2023-02-06,Paid Social,new,135
2023-02-06,Payment Redirects,(not set),13
2023-02-06,Payment Redirects,established,24
2023-02-06,Payment Redirects,new,67
2023-02-06,Referral,established,3
2023-02-06,Referral,new,6
2023-02-06,SMS,(not set),37
2023-02-06,SMS,established,149
2023-02-06,SMS,new,207
2023-02-06,Unassigned,(not set),32
2023-02-06,Unassigned,established,4
2023-02-06,Unassigned,new,20
2023-02-07,Affiliates,(not set),17
2023-02-07,Affiliates,established,92
2023-02-07,Affiliates,new,253
2023-02-07,Direct,(not set),28
2023-02-07,Direct,established,127
2023-02-07,Direct,new,624
2023-02-07,Display,established,1
2023-02-07,Email,(not set),34
2023-02-07,Email,established,288
2023-02-07,Email,new,510
2023-02-07,Organic Search,established,74
2023-02-07,Organic Search,new,160
2023-02-07,Organic Shopping,(not set),1
2023-02-07,Organic Shopping,new,6
2023-02-07,Organic Social,established,6
2023-02-07,Organic Social,new,19
2023-02-07,Paid Search,(not set),18
2023-02-07,Paid Search,established,145
2023-02-07,Paid Search,new,644
2023-02-07,Paid Social,(not set),9
2023-02-07,Paid Social,established,56
2023-02-07,Paid Social,new,178
2023-02-07,Payment Redirects,(not set),5
2023-02-07,Payment Redirects,established,21
2023-02-07,Payment Redirects,new,61
2023-02-07,Referral,established,1
2023-02-07,SMS,(not set),42
2023-02-07,SMS,established,188
2023-02-07,SMS,new,293
2023-02-07,Unassigned,(not set),29
2023-02-07,Unassigned,established,4
2023-02-07,Unassigned,new,28
2023-02-08,Affiliates,(not set),18
2023-02-08,Affiliates,established,91
2023-02-08,Affiliates,new,263
2023-02-08,Direct,(not set),14
2023-02-08,Direct,established,178
2023-02-08,Direct,new,880
2023-02-08,Email,(not set),94
2023-02-08,Email,established,335
2023-02-08,Email,new,688
2023-02-08,Organic Search,(not set),7
2023-02-08,Organic Search,established,37
2023-02-08,Organic Search,new,192
2023-02-08,Organic Social,established,3
2023-02-08,Organic Social,new,2
2023-02-08,Paid Search,(not set),23
2023-02-08,Paid Search,established,170
2023-02-08,Paid Search,new,715
2023-02-08,Paid Social,(not set),10
2023-02-08,Paid Social,established,71
2023-02-08,Paid Social,new,148
2023-02-08,Payment Redirects,established,23
2023-02-08,Payment Redirects,new,50
2023-02-08,Referral,established,13
2023-02-08,Referral,new,5
2023-02-08,SMS,(not set),39
2023-02-08,SMS,established,238
2023-02-08,SMS,new,283
2023-02-08,Unassigned,(not set),46
2023-02-08,Unassigned,established,6
2023-02-08,Unassigned,new,48
2023-02-09,Affiliates,(not set),45
2023-02-09,Affiliates,established,81
2023-02-09,Affiliates,new,243
2023-02-09,Direct,(not set),12
2023-02-09,Direct,established,166
2023-02-09,Direct,new,771
2023-02-09,Display,established,5
2023-02-09,Email,(not set),43
2023-02-09,Email,established,314
2023-02-09,Email,new,509
2023-02-09,Organic Search,(not set),5
2023-02-09,Organic Search,established,48
2023-02-09,Organic Search,new,197
2023-02-09,Organic Shopping,new,1
2023-02-09,Organic Social,established,2
2023-02-09,Organic Social,new,15
2023-02-09,Paid Search,(not set),9
2023-02-09,Paid Search,established,125
2023-02-09,Paid Search,new,538
2023-02-09,Paid Social,(not set),8
2023-02-09,Paid Social,established,75
2023-02-09,Paid Social,new,143
2023-02-09,Payment Redirects,(not set),18
2023-02-09,Payment Redirects,established,29
2023-02-09,Payment Redirects,new,66
2023-02-09,SMS,(not set),24
2023-02-09,SMS,established,219
2023-02-09,SMS,new,231
2023-02-09,Unassigned,(not set),25
2023-02-09,Unassigned,established,17
2023-02-09,Unassigned,new,41
2023-02-10,Affiliates,(not set),23
2023-02-10,Affiliates,established,61
2023-02-10,Affiliates,new,238
2023-02-10,Direct,(not set),33
2023-02-10,Direct,established,162
2023-02-10,Direct,new,885
2023-02-10,Email,(not set),44
2023-02-10,Email,established,259
2023-02-10,Email,new,549
2023-02-10,Organic Search,(not set),12
2023-02-10,Organic Search,established,44
2023-02-10,Organic Search,new,151
2023-02-10,Organic Shopping,established,2
2023-02-10,Organic Shopping,new,1
2023-02-10,Organic Social,established,7
2023-02-10,Organic Social,new,11
2023-02-10,Paid Search,(not set),24
2023-02-10,Paid Search,established,188
2023-02-10,Paid Search,new,611
2023-02-10,Paid Social,(not set),5
2023-02-10,Paid Social,established,114
2023-02-10,Paid Social,new,246
2023-02-10,Payment Redirects,(not set),10
2023-02-10,Payment Redirects,established,31
2023-02-10,Payment Redirects,new,38
2023-02-10,Referral,established,7
2023-02-10,SMS,(not set),30
2023-02-10,SMS,established,161
2023-02-10,SMS,new,132
2023-02-10,Unassigned,(not set),22
2023-02-10,Unassigned,established,5
2023-02-10,Unassigned,new,13
2023-02-11,Affiliates,(not set),4
2023-02-11,Affiliates,established,57
2023-02-11,Affiliates,new,243
2023-02-11,Direct,(not set),13
2023-02-11,Direct,established,124
2023-02-11,Direct,new,865
2023-02-11,Email,(not set),45
2023-02-11,Email,established,207
2023-02-11,Email,new,428
2023-02-11,Organic Search,(not set),8
2023-02-11,Organic Search,established,48
2023-02-11,Organic Search,new,154
2023-02-11,Organic Shopping,established,2
2023-02-11,Organic Shopping,new,5
2023-02-11,Organic Social,established,16
2023-02-11,Organic Social,new,22
2023-02-11,Paid Search,(not set),29
2023-02-11,Paid Search,established,179
2023-02-11,Paid Search,new,690
2023-02-11,Paid Social,(not set),14
2023-02-11,Paid Social,established,61
2023-02-11,Paid Social,new,150
2023-02-11,Payment Redirects,(not set),8
2023-02-11,Payment Redirects,established,14
2023-02-11,Payment Redirects,new,28
2023-02-11,Referral,(not set),3
2023-02-11,Referral,established,3
2023-02-11,Referral,new,1
2023-02-11,SMS,(not set),49
2023-02-11,SMS,established,177
2023-02-11,SMS,new,178
2023-02-11,Unassigned,(not set),35
2023-02-11,Unassigned,established,29
2023-02-11,Unassigned,new,27
2023-02-12,Affiliates,(not set),17
2023-02-12,Affiliates,established,113
2023-02-12,Affiliates,new,246
2023-02-12,Direct,(not set),21
2023-02-12,Direct,established,212
2023-02-12,Direct,new,839
2023-02-12,Display,established,2
2023-02-12,Email,(not set),59
2023-02-12,Email,established,353
2023-02-12,Email,new,442
2023-02-12,Organic Search,(not set),12
2023-02-12,Organic Search,established,60
2023-02-12,Organic Search,new,134
2023-02-12,Organic Social,established,13
2023-02-12,Paid Search,(not set),25
2023-02-12,Paid Search,established,138
2023-02-12,Paid Search,new,681
2023-02-12,Paid Social,(not set),9
2023-02-12,Paid Social,established,76
2023-02-12,Paid Social,new,151
2023-02-12,Payment Redirects,(not set),13
2023-02-12,Payment Redirects,established,23
2023-02-12,Payment Redirects,new,37
2023-02-12,Referral,established,2
2023-02-12,SMS,(not set),60
2023-02-12,SMS,established,345
2023-02-12,SMS,new,338
2023-02-12,Unassigned,(not set),68
2023-02-12,Unassigned,established,22
2023-02-12,Unassigned,new,71
2023-02-13,Affiliates,(not set),39
2023-02-13,Affiliates,established,111
2023-02-13,Affiliates,new,187
2023-02-13,Direct,(not set),22
2023-02-13,Direct,established,226
2023-02-13,Direct,new,771
2023-02-13,Email,(not set),30
2023-02-13,Email,established,252
2023-02-13,Email,new,453
2023-02-13,Organic Search,(not set),6
2023-02-13,Organic Search,established,77
2023-02-13,Organic Search,new,173
2023-02-13,Organic Shopping,new,5
2023-02-13,Organic Social,new,8
2023-02-13,Paid Search,(not set),54
2023-02-13,Paid Search,established,115
2023-02-13,Paid Search,new,650
2023-02-13,Paid Social,(not set),21
2023-02-13,Paid Social,established,82
2023-02-13,Paid Social,new,176
2023-02-13,Payment Redirects,(not set),7
2023-02-13,Payment Redirects,established,34
2023-02-13,Payment Redirects,new,63
2023-02-13,Referral,established,9
2023-02-13,Referral,new,1
2023-02-13,SMS,(not set),42
2023-02-13,SMS,established,293
2023-02-13,SMS,new,295
2023-02-13,Unassigned,(not set),34
2023-02-13,Unassigned,established,2
2023-02-13,Unassigned,new,30
2023-02-14,Affiliates,(not set),19
2023-02-14,Affiliates,established,20
2023-02-14,Affiliates,new,175
2023-02-14,Direct,(not set),12
2023-02-14,Direct,established,181
2023-02-14,Direct,new,729
2023-02-14,Email,(not set),72
2023-02-14,Email,established,262
2023-02-14,Email,new,372
2023-02-14,Organic Search,(not set),5
2023-02-14,Organic Search,established,71
2023-02-14,Organic Search,new,130
2023-02-14,Organic Shopping,new,3
2023-02-14,Organic Social,(not set),2
2023-02-14,Organic Social,established,5
2023-02-14,Organic Social,new,23
2023-02-14,Paid Search,(not set),21
2023-02-14,Paid Search,established,143
2023-02-14,Paid Search,new,562
2023-02-14,Paid Social,(not set),14
2023-02-14,Paid Social,established,83
2023-02-14,Paid Social,new,184
2023-02-14,Payment Redirects,(not set),8
2023-02-14,Payment Redirects,established,20
2023-02-14,Payment Redirects,new,49
2023-02-14,Referral,established,4
2023-02-14,SMS,(not set),12
2023-02-14,SMS,established,166
2023-02-14,SMS,new,255
2023-02-14,Unassigned,(not set),36
2023-02-14,Unassigned,established,8
2023-02-14,Unassigned,new,17
2023-02-15,Affiliates,(not set),21
2023-02-15,Affiliates,established,92
2023-02-15,Affiliates,new,220
2023-02-15,Direct,(not set),33
2023-02-15,Direct,established,182
2023-02-15,Direct,new,717
2023-02-15,Email,(not set),60
2023-02-15,Email,established,215
2023-02-15,Email,new,423
2023-02-15,Organic Search,(not set),3
2023-02-15,Organic Search,established,17
2023-02-15,Organic Search,new,238
2023-02-15,Organic Shopping,new,7
2023-02-15,Organic Social,established,18
2023-02-15,Organic Social,new,30
2023-02-15,Paid Search,(not set),30
2023-02-15,Paid Search,established,167
2023-02-15,Paid Search,new,609
2023-02-15,Paid Social,(not set),18
2023-02-15,Paid Social,established,130
2023-02-15,Paid Social,new,251
2023-02-15,Paid Video,new,1
2023-02-15,Payment Redirects,(not set),27
2023-02-15,Payment Redirects,established,28
2023-02-15,Payment Redirects,new,61
2023-02-15,Referral,new,14
2023-02-15,SMS,(not set),38
2023-02-15,SMS,established,189
2023-02-15,SMS,new,214
2023-02-15,Unassigned,(not set),23
2023-02-15,Unassigned,established,5
2023-02-15,Unassigned,new,10
2023-02-16,Affiliates,(not set),15
2023-02-16,Affiliates,established,245
2023-02-16,Affiliates,new,287
2023-02-16,Direct,(not set),55
2023-02-16,Direct,established,287
2023-02-16,Direct,new,1098
2023-02-16,Display,established,1
2023-02-16,Display,new,2
2023-02-16,Email,(not set),80
2023-02-16,Email,established,361
2023-02-16,Email,new,584
2023-02-16,Organic Search,(not set),8
2023-02-16,Organic Search,established,68
2023-02-16,Organic Search,new,272
2023-02-16,Organic Shopping,established,3
2023-02-16,Organic Shopping,new,2
2023-02-16,Organic Social,(not set),8
2023-02-16,Organic Social,established,24
2023-02-16,Organic Social,new,22
2023-02-16,Paid Search,(not set),35
2023-02-16,Paid Search,established,223
2023-02-16,Paid Search,new,806
2023-02-16,Paid Social,(not set),29
2023-02-16,Paid Social,established,148
2023-02-16,Paid Social,new,305
2023-02-16,Payment Redirects,(not set),7
2023-02-16,Payment Redirects,established,24
2023-02-16,Payment Redirects,new,53
2023-02-16,Referral,new,6
2023-02-16,SMS,(not set),61
2023-02-16,SMS,established,395
2023-02-16,SMS,new,332
2023-02-16,Unassigned,(not set),81
2023-02-16,Unassigned,established,13
2023-02-16,Unassigned,new,32
2023-02-17,Affiliates,(not set),25
2023-02-17,Affiliates,established,133
2023-02-17,Affiliates,new,417
2023-02-17,Direct,(not set),22
2023-02-17,Direct,established,340
2023-02-17,Direct,new,1351
2023-02-17,Email,(not set),129
2023-02-17,Email,established,340
2023-02-17,Email,new,517
2023-02-17,Organic Search,(not set),2
2023-02-17,Organic Search,established,92
2023-02-17,Organic Search,new,261
2023-02-17,Organic Shopping,established,4
2023-02-17,Organic Social,(not set),4
2023-02-17,Organic Social,established,28
2023-02-17,Organic Social,new,46
2023-02-17,Paid Search,(not set),20
2023-02-17,Paid Search,established,268
2023-02-17,Paid Search,new,948
2023-02-17,Paid Social,(not set),21
2023-02-17,Paid Social,established,211
2023-02-17,Paid Social,new,352
2023-02-17,Payment Redirects,(not set),38
2023-02-17,Payment Redirects,established,83
2023-02-17,Payment Redirects,new,79
2023-02-17,Referral,(not set),1
2023-02-17,Referral,new,13
2023-02-17,SMS,(not set),61
2023-02-17,SMS,established,320
2023-02-17,SMS,new,358
2023-02-17,Unassigned,(not set),91
2023-02-17,Unassigned,established,51
2023-02-17,Unassigned,new,57
2023-02-18,Affiliates,(not set),15
2023-02-18,Affiliates,established,91
2023-02-18,Affiliates,new,308
2023-02-18,Direct,(not set),29
2023-02-18,Direct,established,291
2023-02-18,Direct,new,1182
2023-02-18,Email,(not set),122
2023-02-18,Email,established,397
2023-02-18,Email,new,635
2023-02-18,Organic Search,(not set),10
2023-02-18,Organic Search,established,42
2023-02-18,Organic Search,new,176
2023-02-18,Organic Shopping,established,2
2023-02-18,Organic Social,established,15
2023-02-18,Organic Social,new,57
2023-02-18,Paid Search,(not set),43
2023-02-18,Paid Search,established,229
2023-02-18,Paid Search,new,839
2023-02-18,Paid Social,(not set),38
2023-02-18,Paid Social,established,193
2023-02-18,Paid Social,new,366
2023-02-18,Payment Redirects,(not set),20
2023-02-18,Payment Redirects,established,41
2023-02-18,Payment Redirects,new,78
2023-02-18,Referral,established,15
2023-02-18,Referral,new,4
2023-02-18,SMS,(not set),69
2023-02-18,SMS,established,430
2023-02-18,SMS,new,492
2023-02-18,Unassigned,(not set),94
2023-02-18,Unassigned,established,16
2023-02-18,Unassigned,new,55
2023-02-19,Affiliates,(not set),41
2023-02-19,Affiliates,established,149
2023-02-19,Affiliates,new,408
2023-02-19,Direct,(not set),53
2023-02-19,Direct,established,278
2023-02-19,Direct,new,1463
2023-02-19,Email,(not set),112
2023-02-19,Email,established,502
2023-02-19,Email,new,856
2023-02-19,Organic Search,(not set),6
2023-02-19,Organic Search,established,70
2023-02-19,Organic Search,new,285
2023-02-19,Organic Shopping,new,5
2023-02-19,Organic Social,(not set),9
2023-02-19,Organic Social,established,23
2023-02-19,Organic Social,new,22
2023-02-19,Paid Search,(not set),37
2023-02-19,Paid Search,established,234
2023-02-19,Paid Search,new,1135
2023-02-19,Paid Social,(not set),53
2023-02-19,Paid Social,established,144
2023-02-19,Paid Social,new,373
2023-02-19,Payment Redirects,(not set),28
2023-02-19,Payment Redirects,established,31
2023-02-19,Payment Redirects,new,101
2023-02-19,Referral,established,7
2023-02-19,SMS,(not set),89
2023-02-19,SMS,established,463
2023-02-19,SMS,new,502
2023-02-19,Unassigned,(not set),121
2023-02-19,Unassigned,established,30
2023-02-19,Unassigned,new,32
2023-02-20,Affiliates,(not set),10
2023-02-20,Affiliates,established,217
2023-02-20,Affiliates,new,373
2023-02-20,Direct,(not set),49
2023-02-20,Direct,established,371
2023-02-20,Direct,new,1543
2023-02-20,Display,new,2
2023-02-20,Email,(not set),161
2023-02-20,Email,established,577
2023-02-20,Email,new,772
2023-02-20,Organic Search,(not set),16
2023-02-20,Organic Search,established,69
2023-02-20,Organic Search,new,289
2023-02-20,Organic Shopping,new,13
2023-02-20,Organic Social,established,5
2023-02-20,Organic Social,new,47
2023-02-20,Paid Search,(not set),68
2023-02-20,Paid Search,established,256
2023-02-20,Paid Search,new,1098
2023-02-20,Paid Social,(not set),6
2023-02-20,Paid Social,established,176
2023-02-20,Paid Social,new,378
2023-02-20,Payment Redirects,(not set),21
2023-02-20,Payment Redirects,established,56
2023-02-20,Payment Redirects,new,75
2023-02-20,Referral,established,7
2023-02-20,Referral,new,12
2023-02-20,SMS,(not set),79
2023-02-20,SMS,established,307
2023-02-20,SMS,new,605
2023-02-20,Unassigned,(not set),117
2023-02-20,Unassigned,established,48
2023-02-20,Unassigned,new,59
2023-02-21,Affiliates,(not set),23
2023-02-21,Affiliates,established,83
2023-02-21,Affiliates,new,308
2023-02-21,Direct,(not set),44
2023-02-21,Direct,established,259
2023-02-21,Direct,new,1267
2023-02-21,Email,(not set),102
2023-02-21,Email,established,250
2023-02-21,Email,new,612
2023-02-21,Organic Search,(not set),14
2023-02-21,Organic Search,established,15
2023-02-21,Organic Search,new,254
2023-02-21,Organic Shopping,(not set),2
2023-02-21,Organic Shopping,new,6
2023-02-21,Organic Social,established,25
2023-02-21,Organic Social,new,37
2023-02-21,Paid Search,(not set),21
2023-02-21,Paid Search,established,256
2023-02-21,Paid Search,new,754
2023-02-21,Paid Social,(not set),16
2023-02-21,Paid Social,established,103
2023-02-21,Paid Social,new,335
2023-02-21,Payment Redirects,(not set),23
2023-02-21,Payment Redirects,established,39
2023-02-21,Payment Redirects,new,63
2023-02-21,Referral,established,6
2023-02-21,SMS,(not set),81
2023-02-21,SMS,established,239
2023-02-21,SMS,new,375
2023-02-21,Unassigned,(not set),69
2023-02-21,Unassigned,established,19
2023-02-21,Unassigned,new,34
2023-02-22,Affiliates,(not set),4
2023-02-22,Affiliates,established,171
2023-02-22,Affiliates,new,309
2023-02-22,Direct,(not set),17
2023-02-22,Direct,established,321
2023-02-22,Direct,new,1393
2023-02-22,Email,(not set),110
2023-02-22,Email,established,606
2023-02-22,Email,new,946
2023-02-22,Organic Search,established,95
2023-02-22,Organic Search,new,311
2023-02-22,Organic Shopping,new,7
2023-02-22,Organic Social,established,16
2023-02-22,Organic Social,new,55
2023-02-22,Paid Search,(not set),10
2023-02-22,Paid Search,established,317
2023-02-22,Paid Search,new,1095
2023-02-22,Paid Social,(not set),5
2023-02-22,Paid Social,established,149
2023-02-22,Paid Social,new,326
2023-02-22,Payment Redirects,(not set),27
2023-02-22,Payment Redirects,established,54
2023-02-22,Payment Redirects,new,67
2023-02-22,Referral,established,7
2023-02-22,SMS,(not set),69
2023-02-22,SMS,established,422
2023-02-22,SMS,new,709
2023-02-22,Unassigned,(not set),100
2023-02-22,Unassigned,established,33
2023-02-22,Unassigned,new,63
2023-02-23,Affiliates,(not set),2
2023-02-23,Affiliates,established,200
2023-02-23,Affiliates,new,343
2023-02-23,Direct,(not set),27
2023-02-23,Direct,established,344
2023-02-23,Direct,new,1326
2023-02-23,Display,established,7
2023-02-23,Email,(not set),76
2023-02-23,Email,established,507
2023-02-23,Email,new,712
2023-02-23,Organic Search,established,87
2023-02-23,Organic Search,new,238
