date,channel,sessions,revenue,purchases,engaged_sessions,shipping,tax
2023-02-01,Paid Search,22856,53350.93,416,14857,4470.69,3009.28
2023-02-01,Paid Social,9833,13655.84,96,5496,659.5,782.67
2023-02-01,Payment Redirects,395,4845.83,32,294,384,245.44
2023-02-01,Referral,161,1083.62,4,108,71.46,132.1
2023-02-01,SMS,16043,29270.3,185,7124,1685,1783.32
2023-02-01,Unassigned,1133,3661.62,27,0,259,207.5
2023-02-02,Affiliates,2386,20817.17,136,1729,1253.56,1370.93
2023-02-02,Direct,30965,76604.95,515,20403,5362.84,4333.38
2023-02-02,Display,124,0,0,52,0,0
2023-02-02,Email,14962,48424.98,278,8960,2310.9,3103.37
2023-02-02,Organic Search,10030,15798.68,97,7257,915.06,900.77
2023-02-02,Organic Shopping,233,1222.95,5,171,10,57.51
2023-02-02,Organic Social,995,1528.34,9,732,56,63.26
2023-02-02,Paid Search,24695,58990.38,450,16042,4736.5,3276.01
2023-02-02,Paid Social,9977,17072.29,123,5721,968.5,900.55
2023-02-02,Payment Redirects,470,7488.69,45,355,478,405.45
2023-02-02,Referral,196,517.55,2,123,40.27,14.82
2023-02-02,SMS,20797,41975.94,233,9300,1889,2457.16
2023-02-02,Unassigned,1212,7139.35,42,0,373.43,407.98
2023-02-03,Affiliates,2358,25364.52,151,1677,1242.65,1476.36
2023-02-03,Direct,32700,74946.61,516,21808,5263.27,3230.31
2023-02-03,Display,131,0,0,25,0,0
2023-02-03,Email,17163,45233,288,10690,2175.39,2717.54
2023-02-03,Organic Search,9840,14715.21,101,7156,982.59,654.67
2023-02-03,Organic Shopping,148,433.51,3,106,23,17.52
2023-02-03,Organic Social,808,2408.69,13,627,70,152.63
2023-02-03,Organic Video,2,0,0,2,0,0
2023-02-03,Paid Search,24554,63292.94,477,15700,4780,3207.39
2023-02-03,Paid Social,9993,17027.32,125,5413,1052.5,847.76
2023-02-03,Paid Video,1,89.63,1,1,10,7.4
2023-02-03,Payment Redirects,432,6276.15,41,330,511,344.29
2023-02-03,Referral,186,151.77,2,114,19.85,0
2023-02-03,SMS,20775,33047.86,213,8300,1670,1928.4
2023-02-03,Unassigned,1201,5098.11,32,0,253,322.08
2023-02-04,Affiliates,2383,17761.72,107,1673,842,876.39
2023-02-04,Direct,34141,59098.74,433,22910,4348.17,3709.96
2023-02-04,Display,217,0,0,41,0,0
2023-02-04,Email,16597,46280.89,284,10277,2145.55,2684.8
2023-02-04,Organic Search,10418,13307.86,90,7525,892.46,647
2023-02-04,Organic Shopping,224,894.17,6,167,43,55.23
2023-02-04,Organic Social,936,1072.2,9,714,73,52.99
2023-02-04,Organic Video,2,0,0,2,0,0
2023-02-04,Paid Search,25853,57815.89,439,16887,4331.06,3343.09
2023-02-04,Paid Social,10506,17769.41,120,5683,988,889.24
2023-02-04,Paid Video,2,0,0,1,0,0
2023-02-04,Payment Redirects,402,5844.78,36,296,470.5,345.33
2023-02-04,Referral,178,886.28,3,113,25.68,77.04
2023-02-04,SMS,16790,27693.6,172,7483,1360,1634.62
2023-02-04,Unassigned,1256,5302.25,35,0,284.5,291.35
2023-02-05,Affiliates,2617,20019.38,126,1876,886.35,1161.15
2023-02-05,Direct,35028,70270.81,479,22936,5007.94,3473
2023-02-05,Display,132,235.04,1,28,0,9.04
2023-02-05,Email,17017,43427.85,267,10517,2148.57,3172.29
2023-02-05,Organic Search,10361,17257.7,109,7375,1171.77,978.65
2023-02-05,Organic Shopping,163,211.67,2,125,23,11.27
2023-02-05,Organic Social,837,1664.39,9,636,102.5,61.89
2023-02-05,Organic Video,4,0,0,4,0,0
2023-02-05,Paid Search,27144,59323.77,441,17666,4833.09,3678.73
2023-02-05,Paid Social,12417,21270.01,145,7157,1376,1082.16
2023-02-05,Paid Video,4,0,0,2,0,0
2023-02-05,Payment Redirects,504,6879.37,41,369,428.5,438.97
2023-02-05,Referral,147,348.08,3,100,33.61,47.33
2023-02-05,SMS,21157,26328.62,168,8718,1285.5,1549.87
2023-02-05,Unassigned,1350,6871.02,40,1,275,394.02
2023-02-06,Affiliates,2527,18273.14,112,1751,1012.97,997.31
2023-02-06,Direct,32224,53100.14,385,21093,4261,2555.14
2023-02-06,Display,151,0,0,31,0,0
2023-02-06,Email,18505,41901.59,243,11194,2331.91,3045.31
2023-02-06,Organic Search,10533,15909.31,103,7649,1193.2,847.91
2023-02-06,Organic Shopping,140,129.1,1,110,22.5,7.6
2023-02-06,Organic Social,715,488.36,2,562,10,30.41
2023-02-06,Organic Video,3,0,0,2,0,0
2023-02-06,Paid Search,22898,53761.05,376,14916,4210,3132.92
2023-02-06,Paid Social,10592,12839.34,102,5931,968,593.45
2023-02-06,Paid Video,1,0,0,0,0,0
2023-02-06,Payment Redirects,367,6394.23,40,274,388.5,429.16
2023-02-06,Referral,219,1033.11,4,143,51.97,94
2023-02-06,SMS,18764,20850.43,127,7005,1113,1178.63
2023-02-06,Unassigned,1260,3019.18,19,1,178.88,174.3
2023-02-07,Affiliates,2618,18650.2,114,1877,930,1141.21
2023-02-07,Direct,32524,50103.8,372,20028,3868,2294.66
2023-02-07,Display,208,129.59,1,38,10,10.59
2023-02-07,Email,20572,44660.56,277,13040,2161.06,2751.69
2023-02-07,Mobile Push Notifications,1,0,0,1,0,0
2023-02-07,Organic Search,9909,15020.39,92,7134,1072.64,987.58
2023-02-07,Organic Shopping,591,890.94,6,384,32.5,43.65
2023-02-07,Organic Social,1049,951.55,5,765,0,53.09
2023-02-07,Paid Search,21962,48017.5,349,14680,3709,2718.22
2023-02-07,Paid Social,9246,14475.56,95,5164,736,657.44
2023-02-07,Payment Redirects,405,5027.52,35,309,387.5,300.86
2023-02-07,Referral,184,61.86,1,121,13,0
2023-02-07,SMS,16712,27993.21,157,7146,1098.5,1639.23
2023-02-07,Unassigned,1432,3470.5,27,7,334.5,185.57
2023-02-08,Affiliates,2961,19636.02,126,2056,1091,1146.92
2023-02-08,Direct,31316,66276.1,467,19318,4932.45,2932.05
2023-02-08,Display,140,0,0,34,0,0
2023-02-08,Email,22868,61519.7,350,13995,2867.42,3615.6
2023-02-08,Mobile Push Notifications,1,0,0,0,0,0
2023-02-08,Organic Search,9608,16990.1,113,6934,1384.99,930.91
2023-02-08,Organic Shopping,298,0,0,219,0,0
2023-02-08,Organic Social,762,272.63,2,593,10,16.48
2023-02-08,Paid Search,22826,55172.35,415,14731,5104.61,3247.03
2023-02-08,Paid Social,8616,12986.34,94,4801,846,706.14
2023-02-08,Paid Video,1,0,0,0,0,0
2023-02-08,Payment Redirects,444,4090.79,27,340,282.5,234.51
2023-02-08,Referral,179,1966.73,7,116,113.24,125.97
2023-02-08,SMS,16725,31321.04,186,6902,1502,1875.6
2023-02-08,Unassigned,1526,7279.57,36,0,436.02,356.33
2023-02-09,Affiliates,2904,20591.09,127,2028,1262,1217.88
2023-02-09,Direct,28068,55925.93,368,18240,4118.39,2495.6
2023-02-09,Display,63,176.26,1,16,0,0
2023-02-09,Email,22547,47376.89,282,13138,2652.7,3009.12
2023-02-09,Organic Search,9355,16647.91,101,6967,1236.19,814.23
2023-02-09,Organic Shopping,232,152.9,1,148,10,11.5
2023-02-09,Organic Social,696,1198.21,10,516,105.5,63.01
2023-02-09,Paid Search,22158,41750.92,313,14765,3765.5,2293.29
2023-02-09,Paid Social,8993,12473.5,103,5004,985,653.69
2023-02-09,Paid Video,1,0,0,1,0,0
2023-02-09,Payment Redirects,459,6100.83,38,336,369.5,371.57
2023-02-09,Referral,181,0,0,114,0,0
2023-02-09,SMS,19923,25448.64,149,8320,1355,1474.69
2023-02-09,Unassigned,1468,4721.36,28,0,268,311.36
2023-02-10,Affiliates,2660,18249.77,110,1876,1120,984.12
2023-02-10,Direct,30573,64371.72,437,19432,4988.25,3003.63
2023-02-10,Display,99,0,0,24,0,0
2023-02-10,Email,19331,47660.19,297,11103,2354.22,2640.9
2023-02-10,Mobile Push Notifications,2,0,0,2,0,0
2023-02-10,Organic Search,9487,13429.9,90,6836,963.96,643.75
2023-02-10,Organic Shopping,237,354.59,2,174,34,9.81
2023-02-10,Organic Social,637,1000.01,5,476,49,61.27
2023-02-10,Organic Video,1,0,0,1,0,0
2023-02-10,Paid Search,22814,50922.96,377,14576,4374.11,2861.18
2023-02-10,Paid Social,9327,21715.19,151,5241,1194.5,1146.26
2023-02-10,Payment Redirects,431,5413.01,33,300,271,225.75
2023-02-10,Referral,146,563.71,2,104,30.42,139.9
2023-02-10,SMS,12058,17861.51,115,3908,1056,1045.27
2023-02-10,Unassigned,1043,2461.04,22,0,289.5,140.9
2023-02-11,Affiliates,2695,17520.25,115,1896,1102.17,1113.11
2023-02-11,Direct,31042,58818.89,415,19859,4523.34,2764.9
2023-02-11,Display,95,0,0,28,0,0
2023-02-11,Email,17913,36848.64,215,10430,1835.53,2303.83
2023-02-11,Organic Search,10160,14512.07,94,7156,1090.24,930.92
2023-02-11,Organic Shopping,189,684.01,3,147,23,46
2023-02-11,Organic Social,672,2283.18,15,479,184.5,152.85
2023-02-11,Organic Video,3,0,0,1,0,0
2023-02-11,Paid Search,24999,54118.32,415,15906,4400.5,3033.48
2023-02-11,Paid Social,9564,15426.05,103,5372,876.5,905.21
2023-02-11,Paid Video,1,0,0,1,0,0
2023-02-11,Payment Redirects,424,3194.18,25,299,313,207.48
2023-02-11,Referral,118,665.37,3,75,32.1,58.85
2023-02-11,SMS,13917,22342.76,148,7248,1320.5,1148
2023-02-11,Unassigned,1385,4916.32,29,1,258,325.03
2023-02-12,Affiliates,2232,18104.2,111,1564,970.5,1135.63
2023-02-12,Direct,31353,59464.84,400,20059,4090.42,2829.02
2023-02-12,Display,101,197.13,1,22,0,11.15
2023-02-12,Email,15882,41517.64,221,9179,1346.92,2560.2
2023-02-12,Organic Search,9924,15623.1,82,7149,1105.83,1351.59
2023-02-12,Organic Shopping,158,0,0,106,0,0
2023-02-12,Organic Social,634,668.74,3,476,0,35.63
2023-02-12,Paid Search,23773,51801.88,336,15292,3728.66,3985.18
2023-02-12,Paid Social,10477,12812.06,105,5762,858,702.92
2023-02-12,Payment Redirects,386,3997.59,24,286,239.5,218.81
2023-02-12,Referral,118,52.38,1,78,10,2.4
2023-02-12,SMS,15277,35312.38,190,6044,1321,2169.53
2023-02-12,Unassigned,1151,9638.45,43,4,343,545.71
2023-02-13,Affiliates,2095,17440.93,101,1416,803.11,988.74
2023-02-13,Direct,30140,56366.54,394,18582,4049.13,2584.78
2023-02-13,Display,116,0,0,20,0,0
2023-02-13,Email,15456,39854.88,218,8980,1655.78,2212.03
2023-02-13,Organic Search,9470,14421.63,82,6697,973.04,1070.92
2023-02-13,Organic Shopping,122,169.22,1,75,10,10.11
2023-02-13,Organic Social,691,544.05,4,530,67,36.25
2023-02-13,Paid Search,21267,48898.7,335,13576,3601.24,2860.51
2023-02-13,Paid Social,10226,15827.03,110,5815,836,883.72
2023-02-13,Payment Redirects,402,5307.23,29,280,248.5,303.46
2023-02-13,Referral,196,656.1,4,118,76.33,81.42
2023-02-13,SMS,14945,30916.67,167,5253,1361,1854.56
2023-02-13,Unassigned,1119,3165.33,19,0,131.5,185.63
2023-02-14,Affiliates,2133,11169.16,81,1448,652,596.43
2023-02-14,Direct,27161,53334.91,364,16821,3914.5,2352.04
2023-02-14,Display,621,0,0,63,0,0
2023-02-14,Email,15442,38845.55,248,9747,1948.5,2084.37
2023-02-14,Organic Search,9081,13711.64,74,6741,773.58,769.72
2023-02-14,Organic Shopping,116,199.33,2,77,25.26,0
2023-02-14,Organic Social,585,1090.26,7,437,65.5,57.72
2023-02-14,Organic Video,3,0,0,3,0,0
2023-02-14,Paid Search,20593,43412.91,335,13218,3693.5,2332.97
2023-02-14,Paid Social,9800,15252.26,123,5442,1030.5,793.67
2023-02-14,Paid Video,1,0,0,1,0,0
2023-02-14,Payment Redirects,417,4042,27,303,244.5,241.19
2023-02-14,Referral,174,216.95,1,105,0,0
2023-02-14,SMS,15611,22825.5,140,6648,1245.5,1323.94
2023-02-14,Unassigned,1473,3585.91,28,0,261,199.47
2023-02-15,Affiliates,2697,18703.96,100,1883,783,1052.02
2023-02-15,Direct,27616,52731.55,376,17388,3894.17,2418.67
2023-02-15,Display,1354,0,0,226,0,0
2023-02-15,Email,19167,36822.17,228,11764,1838.47,2229.93
2023-02-15,Organic Search,9601,16314.25,94,6962,1086.77,899.8
2023-02-15,Organic Shopping,116,492.54,1,82,0,42.73
2023-02-15,Organic Social,637,2257.82,14,497,97,75.78
2023-02-15,Paid Search,21813,47463.96,342,13908,3626.61,2763.38
2023-02-15,Paid Social,12166,19742.75,155,6685,1366.5,1103.53
2023-02-15,Paid Video,7,102.28,1,3,10,2.88
2023-02-15,Payment Redirects,428,7197.18,38,310,418,409.25
2023-02-15,Referral,206,763.54,3,115,20,51.9
2023-02-15,SMS,17307,25731.98,152,8087,1148.5,1527.6
2023-02-15,Unassigned,1589,2799.33,20,1,164,146.86
2023-02-16,Affiliates,2837,26850.44,137,2030,935,1398.97
2023-02-16,Direct,28434,84340.3,539,17615,5718.69,3992.19
2023-02-16,Display,807,294.41,2,180,45,21.83
2023-02-16,Email,18842,52482.01,272,11275,1860.41,3013.45
2023-02-16,Organic Search,10022,20038.09,118,7352,1180.77,1148.54
2023-02-16,Organic Shopping,91,255.84,3,72,20,19.75
2023-02-16,Organic Social,1164,2297.77,13,910,109.5,50.28
2023-02-16,Paid Search,23933,58173.74,412,15455,4033.44,3486.61
2023-02-16,Paid Social,12548,26045.51,187,7260,1435,1355.26
2023-02-16,Paid Video,5,0,0,0,0,0
2023-02-16,Payment Redirects,656,4232.78,31,516,311.5,246.42
2023-02-16,Referral,216,219.89,2,130,10,16.17
2023-02-16,SMS,14315,37063.05,197,7393,1357.5,2204.74
2023-02-16,Unassigned,1800,5479.49,37,4,329,321.1
2023-02-17,Affiliates,2737,27767.78,150,1979,1021.5,1427.53
2023-02-17,Direct,27881,88918.99,547,16932,5147.36,4036.36
2023-02-17,Display,719,0,0,117,0,0
2023-02-17,Email,17213,46726.75,285,10135,1896.58,2753.45
2023-02-17,Organic Search,9640,19224.81,120,7066,999.76,1229.75
2023-02-17,Organic Shopping,98,144.69,1,64,13,10.73
2023-02-17,Organic Social,834,3069.49,17,646,129.5,157.76
2023-02-17,Organic Video,2,0,0,1,0,0
2023-02-17,Paid Search,22509,63640.85,459,15441,4292,3688.19
2023-02-17,Paid Social,12985,29125.57,193,7355,1451.5,1649.24
2023-02-17,Paid Video,3,0,0,0,0,0
2023-02-17,Payment Redirects,512,9975.9,52,395,592,641.42
2023-02-17,Referral,189,504.26,4,116,35.87,72.29
2023-02-17,SMS,12566,36053.42,202,6352,1369,2019.12
2023-02-17,Unassigned,1577,9227.47,54,6,464.22,495.04
2023-02-18,Affiliates,2642,19559.39,121,1915,900.5,1126.59
2023-02-18,Direct,29852,74972.48,507,18613,4841.64,3502.58
2023-02-18,Display,447,0,0,99,0,0
2023-02-18,Email,16571,57115.04,333,10358,2489.11,3514.73
2023-02-18,Mobile Push Notifications,1,0,0,1,0,0
2023-02-18,Organic Search,10499,15828.1,94,7593,1016.13,996.19
2023-02-18,Organic Shopping,57,170.87,1,38,10,13.03
2023-02-18,Organic Social,807,2655.92,15,636,94,140.09
2023-02-18,Paid Search,25790,62750.49,445,17311,4136,3507.9
2023-02-18,Paid Social,12827,28283.38,202,7551,1441,1583.29
2023-02-18,Paid Video,2,0,0,1,0,0
2023-02-18,Payment Redirects,458,6967.93,42,329,433,408.64
2023-02-18,Referral,177,803.43,4,97,39.27,5.33
2023-02-18,SMS,13463,44037.63,229,6556,1388.5,2679.16
2023-02-18,Unassigned,1684,8993.88,51,0,408.33,527.08
2023-02-19,Affiliates,2900,27652.16,163,2083,1048.2,1450.09
2023-02-19,Direct,30651,94791.35,599,18768,5199.35,4520.84
2023-02-19,Display,482,0,0,98,0,0
2023-02-19,Email,18983,66087.34,380,12373,2348.28,3955.72
2023-02-19,Organic Search,10467,20831.61,121,7588,1029.18,1400.1
2023-02-19,Organic Shopping,113,346.53,2,78,10,22.34
2023-02-19,Organic Social,937,2573.92,16,751,93,148.48
2023-02-19,Paid Search,28084,79246.29,536,19206,5212,4486.18
2023-02-19,Paid Social,15192,27107.72,189,8766,1560,1482.41
2023-02-19,Paid Video,6,0,0,1,0,0
2023-02-19,Payment Redirects,512,7903.1,35,377,311.5,518.23
2023-02-19,Referral,213,321.97,2,97,0,9.13
2023-02-19,SMS,13761,46559.66,258,6675,1840.5,2620.21
2023-02-19,Unassigned,2072,9464.49,60,1,454.98,500.52
2023-02-20,Affiliates,2773,26351.76,154,1963,1143,1436
2023-02-20,Direct,31033,101622.4,639,19033,5429.03,4888.37
2023-02-20,Display,608,179.99,1,118,34,12.55
2023-02-20,Email,18152,73455.95,419,10926,2425.09,4321.46
2023-02-20,Organic Search,10500,21782.18,138,7380,1255.86,1474.9
2023-02-20,Organic Shopping,150,906.71,5,106,20,50.09
2023-02-20,Organic Social,854,2546.39,14,658,108.5,169.54
2023-02-20,Organic Video,2,0,0,1,0,0
2023-02-20,Paid Search,27211,77788.83,519,18469,4733.84,4514.52
2023-02-20,Paid Social,14706,26247.26,175,8368,1236,1432.25
2023-02-20,Paid Video,4,0,0,2,0,0
2023-02-20,Payment Redirects,540,8840.61,50,387,423.5,545.31
2023-02-20,Referral,226,1660.68,5,125,59.4,232.74
2023-02-20,SMS,13630,47169.22,276,6529,1893,2750.19
2023-02-20,Unassigned,1708,11161.21,55,0,471.8,815.05
2023-02-21,Affiliates,2616,16113.36,97,1788,600.5,770.84
2023-02-21,Direct,31950,83423.96,488,19260,4763.77,3925.54
2023-02-21,Display,611,0,0,142,0,0
2023-02-21,Email,17981,45513.32,263,11032,1842.52,2728.81
2023-02-21,Organic Search,10036,15433.05,93,7170,838.87,857.79
2023-02-21,Organic Shopping,138,430.08,2,99,22.5,21.6
2023-02-21,Organic Social,876,3689.85,17,684,95.5,193.17
2023-02-21,Organic Video,2,0,0,1,0,0
2023-02-21,Paid Search,23822,56400.26,377,15806,3566.35,3074.84
2023-02-21,Paid Social,13798,23227.41,166,7830,1347,1100.78
2023-02-21,Paid Video,2,0,0,2,0,0
2023-02-21,Payment Redirects,418,6678.19,31,278,291,320.75
2023-02-21,Referral,179,231.15,2,110,13,11.75
2023-02-21,SMS,13206,35009.42,189,5871,1185,2017.13
2023-02-21,Unassigned,1526,6121.34,40,1,290.5,327.14
2023-02-22,Affiliates,2751,22809.33,136,1947,905.5,1304.91
2023-02-22,Direct,32965,92383.76,582,20609,5780,4066.8
2023-02-22,Display,793,0,0,143,0,0
2023-02-22,Email,20740,77493.72,422,13193,2843.16,4582.12
2023-02-22,Organic Search,9793,23703.21,133,7315,1436.11,1765.44
2023-02-22,Organic Shopping,108,505.72,2,86,0,8.23
2023-02-22,Organic Social,964,2762.52,16,725,156.5,130.39
2023-02-22,Paid Search,23130,75727.82,502,16182,4948.5,4226.94
2023-02-22,Paid Social,13125,23589.02,163,7629,1267,1259.64
2023-02-22,Paid Video,5,0,0,1,0,0
2023-02-22,Payment Redirects,472,7669.28,43,349,338.5,422.26
2023-02-22,Referral,155,190.36,1,97,0,0
2023-02-22,SMS,16229,59781.61,317,7703,2266.5,3293.88
2023-02-22,Unassigned,1856,9750.09,50,1,338.5,642.39
2023-02-23,Affiliates,2967,22951.98,138,1952,1045.5,1274.01
2023-02-23,Direct,33000,81903.16,550,20967,5330.84,3669.15
2023-02-23,Display,1392,146.88,2,177,20,10.92
2023-02-23,Email,22830,53402.36,358,13973,2955.92,3064.8
2023-02-23,Organic Search,10176,17183.99,108,7313,1168.2,1472.02
2023-02-23,Organic Shopping,111,58.85,1,80,13,4.45
2023-02-23,Organic Social,895,2628.46,17,663,132.5,127.37
2023-02-23,Organic Video,3,0,0,2,0,0
2023-02-23,Paid Search,22698,63405.23,448,15055,4631.5,3489.05
2023-02-23,Paid Social,12677,23121.62,165,7207,1457.5,1231.8
2023-02-23,Paid Video,3,0,0,1,0,0
2023-02-23,Payment Redirects,449,6728.56,40,336,348.5,404.19
2023-02-23,Referral,156,843.21,5,110,52.29,31.62
2023-02-23,SMS,18277,41292.37,263,8583,2054.5,2530.47
2023-02-23,Unassigned,2000,10006.34,58,1,476,528.19
2023-02-24,Affiliates,2776,20901.11,122,2054,956.5,1326.81
2023-02-24,Direct,31844,81801.49,576,23847,5816.62,4017.61
2023-02-24,Display,888,116.54,1,131,10,9.23
2023-02-24,Email,23868,64638.37,403,17173,3127.45,4014.93
2023-02-24,Organic Search,9867,22120.33,121,7492,1261.72,1593.5
2023-02-24,Organic Shopping,102,47.28,1,98,10,3.3
2023-02-24,Organic Social,706,1136.09,7,618,46,59.91
2023-02-24,Organic Video,4,0,0,3,0,0
2023-02-24,Paid Search,21577,63048.28,450,18431,4623.5,3635.28
2023-02-24,Paid Social,11541,18790.65,136,10300,1019.5,987.97
2023-02-24,Paid Video,4,0,0,2,0,0
2023-02-24,Payment Redirects,465,6626.75,40,329,327.5,399.66
2023-02-24,Referral,126,472.75,4,88,41.56,57.95
2023-02-24,SMS,14212,37209.72,254,7794,2006.5,2186.67
2023-02-24,Unassigned,1914,7610.2,55,0,476.36,415.72
2023-02-25,Affiliates,2871,18711.58,130,2159,1016.5,1133.5
2023-02-25,Direct,32926,63637.71,460,23828,4935.54,2829.87
2023-02-25,Display,582,0,0,93,0,0
2023-02-25,Email,19606,51325.25,341,13673,2837.86,3028.03
2023-02-25,Organic Search,11405,16501.68,112,8712,1029,1082.84
2023-02-25,Organic Shopping,95,51.49,1,91,10,3.49
2023-02-25,Organic Social,766,1179.52,7,647,64,71.36
2023-02-25,Organic Video,2,0,0,1,0,0
2023-02-25,Paid Search,19242,47999.87,329,15970,2899.5,2822.81
2023-02-25,Paid Social,12565,21771.39,146,11409,1220,1247.18
2023-02-25,Paid Video,8,0,0,4,0,0
2023-02-25,Payment Redirects,419,9775.62,55,323,328,507.42
2023-02-25,Referral,106,254.01,3,73,43.56,32.74
2023-02-25,SMS,18550,45785.46,280,10766,2135.5,2700.86
2023-02-25,Unassigned,2115,8367.33,53,0,350.5,418.46
2023-02-26,Affiliates,2928,21473.67,134,2113,924.5,1229.23
2023-02-26,Direct,34433,65233.08,478,25565,4492.04,3186.19
2023-02-26,Display,1097,0,0,191,0,0
2023-02-26,Email,17710,44430.75,265,12258,2035.56,2806.81
2023-02-26,Organic Search,11011,20225.15,119,8284,1102.06,1174.81
2023-02-26,Organic Shopping,107,56.83,1,106,10,4.35
2023-02-26,Organic Social,796,1624.53,11,688,66,86.62
2023-02-26,Paid Search,24434,54877.63,416,21035,3853,3164.93
2023-02-26,Paid Social,14323,24360.17,166,12800,1311.5,1334.02
2023-02-26,Paid Video,5,0,0,3,0,0
2023-02-26,Payment Redirects,423,3934.22,26,307,221,197.14
2023-02-26,Referral,101,405.68,2,82,29.43,7.64
2023-02-26,SMS,18855,43045.12,256,9948,2020,2574.37
2023-02-26,Unassigned,1916,7871,54,0,481.12,574.92
2023-02-27,Affiliates,2351,17541.86,103,1673,839.5,1104.69
2023-02-27,Direct,30506,59608.99,417,23539,4468.79,3126.76
2023-02-27,Display,1184,0,0,222,0,0
2023-02-27,Email,20073,36789.93,250,13865,1992.61,2128.68
2023-02-27,Organic Search,10444,15024.46,93,8084,1100.78,925.44
2023-02-27,Organic Shopping,90,188.08,1,84,27.34,0
2023-02-27,Organic Social,1029,1739.45,10,927,74,77.68
2023-02-27,Organic Video,25,0,0,9,0,0
2023-02-27,Paid Search,22559,55282.02,385,19583,4113,3213.03
2023-02-27,Paid Social,10417,15786.63,119,9567,1003,895.3
2023-02-27,Paid Video,1,0,0,0,0,0
2023-02-27,Payment Redirects,358,3520.64,26,253,273,215.88
2023-02-27,Referral,137,436.02,4,113,46.61,69.06
2023-02-27,SMS,19006,35040.24,228,9509,1901.5,1978.29
2023-02-27,Unassigned,1829,7461.83,44,10,391,559.88
2023-02-28,Affiliates,2438,16794.57,108,1759,781.5,837.5
2023-02-28,Direct,31239,54144.11,374,23379,4017.53,2513.88
2023-02-28,Display,1363,0,0,286,0,0
2023-02-28,Email,18071,40336.88,264,12366,2245.03,2312.54
2023-02-28,Mobile Push Notifications,1,0,0,1,0,0
2023-02-28,Organic Search,10113,15519.33,96,7647,1191.12,1104.86
2023-02-28,Organic Shopping,70,0,0,63,0,0
2023-02-28,Organic Social,720,2230.84,11,630,89.5,124.34
2023-02-28,Organic Video,5,0,0,2,0,0
