date,channel,spend
2023-05-20,Affiliates,18354.85
2023-05-20,Display,272.97
2023-05-20,Paid Social,43604.65
2023-05-27,Email,8500
2023-05-27,SMS,33205.96
2023-05-27,Paid Search,101859.1
2023-05-27,Affiliates,16519.37
2023-05-27,Display,592.01
2023-05-27,Paid Social,51288.79
2023-06-03,Email,8500
2023-06-03,SMS,44524.52
2023-06-03,Paid Search,86799.76
2023-06-03,Affiliates,20355.77
2023-06-03,Display,2162.01
2023-06-03,Paid Social,36589.45
2023-06-10,Email,8500
2023-06-10,SMS,49115.21
2023-06-10,Paid Search,80959.8
2023-06-10,Affiliates,18489.92
2023-06-10,Display,2252.83
2023-06-10,Paid Social,42171.46
2023-06-17,Email,8500
2023-06-17,SMS,37455.98
2023-06-17,Paid Search,72360.48
2023-06-17,Affiliates,16586.46
2023-06-17,Display,1120.11
2023-06-17,Paid Social,46297.89
2023-06-24,Email,8500
2023-06-24,SMS,39694
2023-06-24,Paid Search,73356.27
2023-06-24,Affiliates,12655.92
2023-06-24,Display,2097.17
2023-06-24,Paid Social,40253.41
2023-07-01,Email,8500
2023-07-01,SMS,42274.27
2023-07-01,Paid Search,78313.74
2023-07-01,Affiliates,14658.87
2023-07-01,Display,2063.8
2023-07-01,Paid Social,59198.71
2023-07-08,Email,8500
2023-07-08,SMS,43092
2023-07-08,Paid Search,83295.96
2023-07-08,Affiliates,12327.86
2023-07-08,Display,2551.88
2023-07-08,Paid Social,42972.41
2023-07-15,Email,8500
2023-07-15,SMS,42803.11
2023-07-15,Paid Search,82182.14
2023-07-15,Affiliates,16483.37
2023-07-15,Display,2845.83
2023-07-15,Paid Social,49228.84
2023-07-22,Email,8500
2023-07-22,SMS,35871.69
2023-07-22,Paid Search,89369.17
2023-07-22,Affiliates,16111.36
2023-07-22,Display,2660.35
2023-07-22,Paid Social,52069.78
2023-07-29,Email,8500
2023-07-29,SMS,41979.75
2023-07-29,Paid Search,111042.27
2023-07-29,Affiliates,15922.02
2023-07-29,Display,3896.2
2023-07-29,Paid Social,47179.39
2023-08-05,Email,10500
2023-08-05,SMS,28360
2023-08-05,Paid Search,118381.57
2023-08-05,Affiliates,14893.19
2023-08-05,Display,4238.82
2023-08-05,Paid Social,58517.51
2023-08-12,Email,10500
2023-08-12,SMS,15931
2023-08-12,Paid Search,102178.8
2023-08-12,Affiliates,16633.05
2023-08-12,Display,4016.74
2023-08-12,Paid Social,57511.03
2023-08-19,Email,10500
2023-08-19,SMS,26374.48
2023-08-19,Paid Search,79447.79
2023-08-19,Affiliates,19014.94
2023-08-19,Display,4124.71
2023-08-19,Paid Social,69996
2023-08-26,Email,10500
2023-08-26,SMS,22742.42
2023-08-26,Paid Search,91303
2023-08-26,Affiliates,13266.54
2023-08-26,Display,3033
2023-08-26,Paid Social,107968
2023-09-02,Email,8000
2023-09-02,SMS,18233.4
2023-09-02,Paid Search,104308.53
2023-09-02,Affiliates,13989
2023-09-02,Display,1005
2023-09-02,Paid Social,54564.46
2023-09-09,Email,8000
2023-09-09,SMS,30814.42
2023-09-09,Paid Search,104774
2023-09-09,Affiliates,15495.74
2023-09-09,Display,2171
2023-09-09,Paid Social,79155
2023-09-16,Email,8000
2023-09-16,SMS,33870
2023-09-16,Paid Search,92250
2023-09-16,Affiliates,13476.96
2023-09-16,Display,1885
2023-09-16,Paid Social,63127
2023-09-23,Email,8000
2023-09-23,SMS,23556
2023-09-23,Paid Search,67618
2023-09-23,Affiliates,19085
2023-09-23,Display,1849
2023-09-23,Paid Social,64532
2023-09-30,Email,5020.1088
2023-09-30,SMS,38080
2023-09-30,Paid Search,78296
2023-09-30,Affiliates,32585
2023-09-30,Display,6268
2023-09-30,Paid Social,77361
2023-10-07,Email,4370.41157
2023-10-07,SMS,33050
2023-10-07,Paid Search,89542
2023-10-07,Affiliates,13386
2023-10-07,Display,6437
2023-10-07,Paid Social,79718
2023-10-14,Email,4383.55904
2023-10-14,SMS,29665
2023-10-14,Paid Search,96301.21
2023-10-14,Affiliates,13828.16
2023-10-14,Display,6536
2023-10-14,Paid Social,90189.42
2023-10-21,Email,4381.40864
2023-10-21,SMS,22491
2023-10-21,Paid Search,119106.63
2023-10-21,Affiliates,16440.17
2023-10-21,Display,5002
2023-10-21,Paid Social,100712.06
2023-10-28,Email,4228.54656
2023-10-28,SMS,22625
2023-10-28,Paid Search,113882.84
2023-10-28,Affiliates,33358
2023-10-28,Display,1545
2023-10-28,Paid Social,55264
2023-11-04,Email,3084.82608
2023-11-04,SMS,25201
2023-11-04,Paid Search,101367.57
2023-11-04,Affiliates,19656.79
2023-11-04,Display,8346
2023-11-04,Paid Social,83299.37
2023-11-11,Email,4063.93645
2023-11-11,SMS,33804
2023-11-11,Paid Search,132648
2023-11-11,Affiliates,28958
2023-11-11,Display,9256
2023-11-11,Paid Social,96565
2023-11-18,Email,4371.22539
2023-11-18,SMS,28165
2023-11-18,Paid Search,168968.73
2023-11-18,Affiliates,33158.6
2023-11-18,Display,11535
2023-11-18,Paid Social,115714.04
2023-11-25,Email,7026.45041
2023-11-25,SMS,66639
2023-11-25,Paid Search,282801.49
2023-11-25,Affiliates,104590.68
2023-11-25,Display,10898
2023-11-25,Paid Social,247013.03
2023-12-02,Email,6508.51299
2023-12-02,SMS,67015
2023-12-02,Paid Search,455322.18
2023-12-02,Affiliates,100507
2023-12-02,Paid Social,315002.32
2023-12-09,Email,4511.69866
2023-12-09,SMS,63779
2023-12-09,Paid Search,304198.25
2023-12-09,Affiliates,59880.73
2023-12-09,Paid Social,158979.22
2023-12-16,Email,3813.88133
2023-12-16,SMS,58304.38
2023-12-16,Paid Search,308570.69
2023-12-16,Affiliates,54608.41
2023-12-16,Display,10545
2023-12-16,Paid Social,153863.9
2023-12-23,Email,4082.33434
2023-12-23,SMS,46236.22
2023-12-23,Paid Search,200786
2023-12-23,Affiliates,31222
2023-12-23,Display,10600
2023-12-23,Paid Social,107678
2023-12-30,Email,3510.08504
2023-12-30,SMS,42249
2023-12-30,Paid Search,144301
2023-12-30,Affiliates,22330.78
2023-12-30,Display,3887
2023-12-30,Paid Social,97545
2024-01-06,Email,3424.60398
2024-01-06,SMS,51690
2024-01-06,Paid Search,114610.7
2024-01-06,Affiliates,17388.34
2024-01-06,Display,2885
2024-01-06,Paid Social,97896.75
2024-01-13,Email,5773.66958
2024-01-13,SMS,72887
2024-01-13,Paid Search,111540
2024-01-13,Affiliates,17547.98
2024-01-13,Display,668
2024-01-13,Paid Social,112634
2024-01-20,Email,5231.76717
2024-01-20,SMS,51122
2024-01-20,Paid Search,109837.79
2024-01-20,Affiliates,20949
2024-01-20,Display,2925
2024-01-20,Paid Social,111719.99
2024-01-27,Email,4981.44059
2024-01-27,SMS,53308
2024-01-27,Paid Search,77288.01
2024-01-27,Affiliates,15015
2024-01-27,Display,13935
2024-01-27,Paid Social,88117.17
2024-02-03,Email,4772.23299
2024-02-03,SMS,47899
2024-02-03,Paid Search,89926.34
2024-02-03,Affiliates,14475.48
2024-02-03,Display,14880
2024-02-03,Paid Social,79412.99
2024-02-10,Email,4237.54
2024-02-10,SMS,59489
2024-02-10,Paid Search,99818.66
2024-02-10,Affiliates,14111.62
2024-02-10,Display,8668
2024-02-10,Paid Social,112072.68
2024-02-17,Email,4354.85
2024-02-17,SMS,63147
2024-02-17,Paid Search,107642
2024-02-17,Affiliates,15419.23
2024-02-17,Display,26248
2024-02-17,Paid Social,124218
2024-02-24,Email,4769.93
2024-02-24,SMS,67899
2024-02-24,Paid Search,120899
2024-02-24,Affiliates,17878
2024-02-24,Display,29208
2024-02-24,Paid Social,129167
2024-03-02,Email,4789.86
2024-03-02,SMS,54205
2024-03-02,Paid Search,128839
2024-03-02,Affiliates,21345
2024-03-02,Display,37443
2024-03-02,Paid Social,133556
2024-03-09,Email,4578.68
2024-03-09,SMS,62563
2024-03-09,Paid Search,120257
2024-03-09,Affiliates,18810
2024-03-09,Display,27385
2024-03-09,Paid Social,130667
2024-03-16,Email,4723.96
2024-03-16,SMS,40797
2024-03-16,Paid Search,111569.19
2024-03-16,Affiliates,18748.86
2024-03-16,Display,26358
2024-03-16,Paid Social,134825.34
2024-03-23,Email,4312.04
2024-03-23,SMS,43224
2024-03-23,Paid Search,126830.88
2024-03-23,Affiliates,17223.22
2024-03-23,Display,26405
2024-03-23,Paid Social,127320.9
2024-03-30,Email,4489.11
2024-03-30,SMS,50387
2024-03-30,Paid Search,105169.42
2024-03-30,Affiliates,17250.37
2024-03-30,Display,25748
2024-03-30,Paid Social,124320.61
2024-04-06,Email,4902.44
2024-04-06,SMS,50421
2024-04-06,Paid Search,101303.27
2024-04-06,Affiliates,17212.51
2024-04-06,Display,24831
2024-04-06,Paid Social,113050.47
2024-04-13,Email,10156
2024-04-13,SMS,52986
2024-04-13,Paid Search,129913.6
2024-04-13,Affiliates,19220.74
2024-04-13,Display,29130
2024-04-13,Paid Social,128685.67
2024-04-20,Email,10156
2024-04-20,SMS,47619
2024-04-20,Paid Search,117294.78
2024-04-20,Affiliates,15653.69
2024-04-20,Display,28415
2024-04-20,Paid Social,145999.61
2024-04-27,Email,10156
2024-04-27,SMS,50028
2024-04-27,Paid Search,103290.5
2024-04-27,Affiliates,13579.98
2024-04-27,Display,31356
2024-04-27,Paid Social,134274.6
2024-05-04,Email,10156
2024-05-04,SMS,44411
2024-05-04,Paid Search,113303.74
2024-05-04,Affiliates,15214.24
2024-05-04,Display,31916
2024-05-04,Paid Social,156853.12
2024-05-11,Email,10156
2024-05-11,SMS,49023
2024-05-11,Paid Search,106569.96
2024-05-11,Affiliates,14474.28
2024-05-11,Display,22683
2024-05-11,Paid Social,120411.79
2024-05-18,Email,10156
2024-05-18,SMS,39574
2024-05-18,Paid Search,105578.66
2024-05-18,Affiliates,11355.98
2024-05-18,Display,25299
2024-05-18,Paid Social,114991.48
2024-05-25,Email,10156
2024-05-25,SMS,53566
2024-05-25,Paid Search,111656
2024-05-25,Affiliates,13396
2024-05-25,Display,26239
2024-05-25,Paid Social,128017
2024-06-01,Email,10156
2024-06-01,SMS,43320
2024-06-01,Paid Search,144312
2024-06-01,Affiliates,23942
2024-06-01,Display,25384
2024-06-01,Paid Social,138983
2024-06-08,Email,8125
2024-06-08,SMS,48551
2024-06-08,Paid Search,96612.14
2024-06-08,Affiliates,10842.3
2024-06-08,Display,9783
2024-06-08,Paid Social,105343.88
2024-06-15,Email,8125
2024-06-15,SMS,48276
2024-06-15,Paid Search,113189.91
2024-06-15,Affiliates,14627.06
2024-06-15,Display,17388
2024-06-15,Paid Social,121049.75
2024-06-22,Email,8125
2024-06-22,SMS,39511
2024-06-22,Paid Search,101070.67
2024-06-22,Affiliates,11797.64
2024-06-22,Display,18926
2024-06-22,Paid Social,112927.84
2024-06-29,Email,8125
2024-06-29,SMS,41818
2024-06-29,Paid Search,94974.4
2024-06-29,Affiliates,11206.86
2024-06-29,Display,20939
2024-06-29,Paid Social,109592.04
2024-07-06,Email,8125
2024-07-06,SMS,39537
2024-07-06,Paid Search,133192.55
2024-07-06,Affiliates,16075.66
2024-07-06,Display,5025
2024-07-06,Paid Social,106035
2024-07-13,Email,10156
2024-07-13,SMS,50082
2024-07-13,Paid Search,127554.15
2024-07-13,Affiliates,13681.55
2024-07-13,Display,5143
2024-07-13,Paid Social,112585.48
2024-07-20,Email,10156
2024-07-20,SMS,49236
2024-07-20,Paid Search,145191.91
2024-07-20,Affiliates,18754.88
2024-07-20,Display,8041
2024-07-20,Paid Social,135034.94
2024-07-27,Email,10156
2024-07-27,SMS,48221
2024-07-27,Paid Search,161486.16
2024-07-27,Affiliates,20604.71
2024-07-27,Display,10255
2024-07-27,Paid Social,161984.9
2024-08-03,Email,10156
2024-08-03,SMS,46925
2024-08-03,Paid Search,158670.26
2024-08-03,Affiliates,19911.07
2024-08-03,Display,12656
2024-08-03,Paid Social,124867.58
2024-08-10,Email,9571.97
2024-08-10,SMS,42699
2024-08-10,Paid Search,153741.41
2024-08-10,Affiliates,18520.78
2024-08-10,Display,3808
2024-08-10,Paid Social,139022.82
2024-08-17,Email,8691.48
2024-08-17,SMS,44960
2024-08-17,Paid Search,123066.87
2024-08-17,Affiliates,16041.77
2024-08-17,Display,9981
2024-08-17,Paid Social,140008.43
2024-08-24,Email,10930.68
2024-08-24,SMS,51428
2024-08-24,Paid Search,166126.53
2024-08-24,Affiliates,17390.64
2024-08-24,Display,10107
2024-08-24,Paid Social,154596.04
2024-08-31,Email,11430.87
2024-08-31,SMS,47755
2024-08-31,Paid Search,149243.06
2024-08-31,Affiliates,15244.68
2024-08-31,Display,33258
2024-08-31,Paid Social,163959.01
2024-09-07,Email,7464.59
2024-09-07,SMS,48127
2024-09-07,Paid Search,159679.62
2024-09-07,Affiliates,22043.9
2024-09-07,Display,6271
2024-09-07,Paid Social,155902.57
2024-09-14,Email,6912.85
2024-09-14,SMS,51206
2024-09-14,Paid Search,122347.31
2024-09-14,Affiliates,12513.16
2024-09-14,Display,8560
2024-09-14,Paid Social,136349.21
2024-09-21,Email,6846.22
2024-09-21,SMS,57150
2024-09-21,Paid Search,217868.34
2024-09-21,Affiliates,14977.29
2024-09-21,Display,8587
2024-09-21,Paid Social,164038.91
2024-09-28,Email,9764.76
2024-09-28,SMS,54138
2024-09-28,Paid Search,169073.41
2024-09-28,Affiliates,18146.04
2024-09-28,Display,8972
2024-09-28,Paid Social,154072.94
2024-10-05,Email,9636.58
2024-10-05,SMS,48910
2024-10-05,Paid Search,169640.32
2024-10-05,Affiliates,18636.82
2024-10-05,Display,9137
2024-10-05,Paid Social,121690.05
2024-10-12,Email,10156
2024-10-12,SMS,54598
2024-10-12,Paid Search,145750.69
2024-10-12,Affiliates,15434.36
2024-10-12,Display,8876
2024-10-12,Paid Social,140929.29
2024-10-19,Email,10156
2024-10-19,SMS,46856
2024-10-19,Paid Search,153218.83
2024-10-19,Affiliates,19239.86
2024-10-19,Display,14751
2024-10-19,Paid Social,151927.63
2024-10-26,Email,10156
2024-10-26,SMS,55908
2024-10-26,Paid Search,193085.59
2024-10-26,Affiliates,25171.92
2024-10-26,Display,14537
2024-10-26,Paid Social,172268.62
2024-11-02,Email,10156
2024-11-02,SMS,49162
2024-11-02,Paid Search,157383
2024-11-02,Affiliates,19196
2024-11-02,Display,19645
2024-11-02,Paid Social,157631
2024-11-09,Email,10156
2024-11-09,SMS,48713
2024-11-09,Paid Search,153402.72
2024-11-09,Affiliates,36912.29
2024-11-09,Display,14813
2024-11-09,Paid Social,180140.95
2024-11-16,Email,10156
2024-11-16,SMS,52802
2024-11-16,Paid Search,192172.65
2024-11-16,Affiliates,26597.36
2024-11-16,Display,13972
2024-11-16,Paid Social,223447.41
2024-11-23,Email,10156
2024-11-23,SMS,50904
2024-11-23,Paid Search,234728.23
2024-11-23,Affiliates,32522.42
2024-11-23,Display,19446
2024-11-23,Paid Social,230810.1
2024-11-30,Email,10156
2024-11-30,SMS,72912
2024-11-30,Paid Search,557685
2024-11-30,Affiliates,86685.85
2024-11-30,Display,35303
2024-11-30,Paid Social,321691
2024-12-07,Email,8125
2024-12-07,SMS,112046
2024-12-07,Paid Search,671880.17
2024-12-07,Affiliates,115838.5
2024-12-07,Display,23313
2024-12-07,Paid Social,458232.07
2024-12-14,Email,8125
2024-12-14,SMS,92215
2024-12-14,Paid Search,466738.8
2024-12-14,Affiliates,78879.87
2024-12-14,Display,29311
2024-12-14,Paid Social,359878.06
2024-12-21,Email,8125
2024-12-21,SMS,97231
2024-12-21,Paid Search,402796.36
2024-12-21,Affiliates,60284.14
2024-12-21,Display,19361
2024-12-21,Paid Social,249948.65
2024-12-28,Email,8125
2024-12-28,SMS,62313.53
2024-12-28,Paid Search,180357.3
2024-12-28,Affiliates,28531.07
2024-12-28,Display,7150
2024-12-28,Paid Social,163254.77
2025-01-04,Email,8125
2025-01-04,SMS,59747
2025-01-04,Paid Search,173569.61
2025-01-04,Affiliates,27103.22
2025-01-04,Display,5757
2025-01-04,Paid Social,200174.61
2025-01-11,Email,10156
2025-01-11,SMS,56897
2025-01-11,Paid Search,186579.54
2025-01-11,Affiliates,25288.96
2025-01-11,Display,11980
2025-01-11,Paid Social,150787.4
2025-01-18,Email,10156
2025-01-18,SMS,64506
2025-01-18,Paid Search,160969.91
2025-01-18,Affiliates,33014.77
2025-01-18,Display,14688.25
2025-01-18,Paid Social,182754.02
2025-01-25,Email,10156
2025-01-25,SMS,69520
2025-01-25,Paid Search,189010.83
2025-01-25,Affiliates,24603.12
2025-01-25,Display,15540
2025-01-25,Paid Social,206291.35
2025-02-01,Email,10156
2025-02-01,SMS,62372
2025-02-01,Paid Search,119005.4
2025-02-01,Affiliates,20022.78
2025-02-01,Display,19028
2025-02-01,Paid Social,164278.19
2025-02-08,Email,10156.25
2025-02-08,SMS,74647
2025-02-08,Paid Search,131990
2025-02-08,Affiliates,14764.09
2025-02-08,Display,39605.72
2025-02-08,Paid Social,168461.83
2025-02-15,Email,10156
2025-02-15,SMS,64515
2025-02-15,Paid Search,150949.68
2025-02-15,Affiliates,17933.86
2025-02-15,Display,83930
2025-02-15,Paid Social,205135.67
2025-02-22,Email,10156
2025-02-22,SMS,58801
2025-02-22,Paid Search,177877.28
2025-02-22,Affiliates,21648.43
2025-02-22,Display,58746.21
2025-02-22,Paid Social,192245.83
2025-03-01,Email,10156
2025-03-01,SMS,104727.54
2025-03-01,Paid Search,200004.89
2025-03-01,Affiliates,21559.3
2025-03-01,Display,80126.78
2025-03-01,Paid Social,202138.14
2025-03-08,Email,8125
2025-03-08,SMS,65547
2025-03-08,Paid Search,169182.41
2025-03-08,Affiliates,18626.59
2025-03-08,Display,46719.73
2025-03-08,Paid Social,169424.02
2025-03-15,Email,8125
2025-03-15,SMS,55738
2025-03-15,Paid Search,176251.78
2025-03-15,Affiliates,19718.44
2025-03-15,Display,53050.07
2025-03-15,Paid Social,180656.74
2025-03-22,Email,8125
2025-03-22,SMS,41240
2025-03-22,Paid Search,147405.6
2025-03-22,Affiliates,16669.81
2025-03-22,Display,55543.92
2025-03-22,Paid Social,174253.14
2025-03-29,Email,8125
2025-03-29,SMS,69650.79
2025-03-29,Paid Search,137646.68
2025-03-29,Affiliates,16793.89
2025-03-29,Display,51267.49
2025-03-29,Paid Social,170614.22
2025-04-05,Email,8125
2025-04-05,SMS,44528
2025-04-05,Paid Search,138640.09
2025-04-05,Affiliates,17708.29
2025-04-05,Display,36395.22
2025-04-05,Paid Social,160144.18
2025-04-12,Email,10156
2025-04-12,SMS,71717
2025-04-12,Paid Search,169714.19
2025-04-12,Affiliates,16401.34
2025-04-12,Display,64453.41
2025-04-12,Paid Social,189963.18
2025-04-19,Email,10156
2025-04-19,SMS,64801
2025-04-19,Paid Search,186613.61
2025-04-19,Affiliates,15600.86
2025-04-19,Display,74129.33
2025-04-19,Paid Social,200171.64
2025-04-26,Email,10156
2025-04-26,SMS,64509
2025-04-26,Paid Search,173892.04
2025-04-26,Affiliates,14385.73
2025-04-26,Display,89197
2025-04-26,Paid Social,219531
2025-05-03,Email,10156
2025-05-03,SMS,46094
2025-05-03,Paid Search,136041.77
2025-05-03,Affiliates,24837.18
2025-05-03,Display,120159
2025-05-03,Paid Social,190797.73
2025-05-10,Email,10156
2025-05-10,SMS,65249
2025-05-10,Paid Search,166149.06
2025-05-10,Affiliates,14502.21
2025-05-10,Display,26526
2025-05-10,Paid Social,208182.54
2025-05-17,Email,10156
2025-05-17,SMS,52973
2025-05-17,Paid Search,157761.5
2025-05-17,Affiliates,12563.8
2025-05-17,Display,27749
2025-05-17,Paid Social,191768.3
2025-05-24,Email,10156.25
2025-05-24,SMS,51047.33
2025-05-24,Affiliates,15397.94
2025-05-24,Display,27016.19
2025-05-24,Paid Social,213533.27
2025-05-31,Email,10156
2025-05-31,SMS,68565
2025-05-31,Paid Search,216707.88
2025-05-31,Affiliates,18209.63
2025-05-31,Display,20016
2025-05-31,Paid Social,217689.96
2025-06-07,Email,8125
2025-06-07,SMS,61904.15
2025-06-07,Paid Search,132395.17
2025-06-07,Affiliates,12220.04
2025-06-07,Display,18510.18
2025-06-07,Paid Social,166768.11
2025-06-14,Email,8125
2025-06-14,SMS,80257
2025-06-14,Paid Search,177669.19
2025-06-14,Affiliates,16404.14
2025-06-14,Display,16306
2025-06-14,Paid Social,211396.07
2025-06-21,Email,8125
2025-06-21,SMS,59971
2025-06-21,Paid Search,162756.69
2025-06-21,Affiliates,13134.41
2025-06-21,Display,16269
2025-06-21,Paid Social,197001.19
2025-06-28,Email,8125
2025-06-28,SMS,66393.3
2025-06-28,Paid Search,153690.95
2025-06-28,Affiliates,13596.6
2025-06-28,Display,16652
2025-06-28,Paid Social,188436.71
2025-07-05,Email,8125
2025-07-05,SMS,73971.9
2025-07-05,Paid Search,225664
2025-07-05,Affiliates,34820.1
2025-07-05,Display,15972
2025-07-05,Paid Social,221140
2025-07-12,Email,10156
2025-07-12,SMS,74054
2025-07-12,Paid Search,170327.28
2025-07-12,Affiliates,15539.1
2025-07-12,Display,23648.65
2025-07-12,Paid Social,180587.95
2025-07-19,Email,10156
2025-07-19,SMS,63506
2025-07-19,Paid Search,224075.84
2025-07-19,Affiliates,23191.91
2025-07-19,Display,28006.65
2025-07-19,Paid Social,216621.83
2025-07-26,Email,10156
2025-07-26,SMS,75723.65
2025-07-26,Paid Search,265774
2025-07-26,Affiliates,24053.97
2025-07-26,Display,25406
2025-07-26,Paid Social,234112
