date,channel,platform,quantity
2023-02-02,Direct,iOS,229
2023-02-02,Direct,web,927
2023-02-02,Email,web,817
2023-02-02,Organic Search,web,229
2023-02-02,Organic Shopping,web,11
2023-02-02,Organic Social,web,28
2023-02-02,Paid Search,Android,28
2023-02-02,Paid Search,iOS,3
2023-02-02,Paid Search,web,873
2023-02-02,Paid Social,web,298
2023-02-02,Payment Redirects,web,112
2023-02-02,Referral,web,2
2023-02-02,SMS,web,709
2023-02-02,Unassigned,iOS,2
2023-02-02,Unassigned,web,137
2023-02-03,Affiliates,web,501
2023-02-03,Direct,Android,3
2023-02-03,Direct,iOS,277
2023-02-03,Direct,web,945
2023-02-03,Email,web,793
2023-02-03,Organic Search,Android,11
2023-02-03,Organic Search,web,234
2023-02-03,Organic Shopping,web,6
2023-02-03,Organic Social,web,37
2023-02-03,Paid Search,Android,31
2023-02-03,Paid Search,iOS,7
2023-02-03,Paid Search,web,1013
2023-02-03,Paid Social,web,323
2023-02-03,Paid Video,web,1
2023-02-03,Payment Redirects,web,101
2023-02-03,Referral,web,2
2023-02-03,SMS,web,628
2023-02-03,Unassigned,web,84
2023-02-04,Affiliates,web,315
2023-02-04,Direct,Android,4
2023-02-04,Direct,iOS,174
2023-02-04,Direct,web,752
2023-02-04,Email,web,911
2023-02-04,Organic Search,Android,3
2023-02-04,Organic Search,web,226
2023-02-04,Organic Shopping,web,14
2023-02-04,Organic Social,web,24
2023-02-04,Paid Search,Android,19
2023-02-04,Paid Search,iOS,15
2023-02-04,Paid Search,web,923
2023-02-04,Paid Social,web,300
2023-02-04,Payment Redirects,web,102
2023-02-04,Referral,web,7
2023-02-04,SMS,web,569
2023-02-04,Unassigned,Android,2
2023-02-04,Unassigned,iOS,1
2023-02-04,Unassigned,web,106
2023-02-05,Affiliates,web,386
2023-02-05,Direct,Android,2
2023-02-05,Direct,iOS,221
2023-02-05,Direct,web,913
2023-02-05,Display,web,4
2023-02-05,Email,web,808
2023-02-05,Organic Search,Android,7
2023-02-05,Organic Search,web,257
2023-02-05,Organic Shopping,web,3
2023-02-05,Organic Social,Android,2
2023-02-05,Organic Social,web,23
2023-02-05,Paid Search,Android,14
2023-02-05,Paid Search,iOS,4
2023-02-05,Paid Search,web,966
2023-02-05,Paid Social,web,320
2023-02-05,Payment Redirects,web,120
2023-02-05,Referral,web,6
2023-02-05,SMS,web,509
2023-02-05,Unassigned,iOS,2
2023-02-05,Unassigned,web,188
2023-02-06,Affiliates,web,317
2023-02-06,Direct,Android,5
2023-02-06,Direct,iOS,164
2023-02-06,Direct,web,737
2023-02-06,Email,web,693
2023-02-06,Organic Search,Android,5
2023-02-06,Organic Search,web,212
2023-02-06,Organic Shopping,web,1
2023-02-06,Organic Social,web,8
2023-02-06,Paid Search,Android,27
2023-02-06,Paid Search,iOS,9
2023-02-06,Paid Search,web,825
2023-02-06,Paid Social,web,231
2023-02-06,Payment Redirects,web,104
2023-02-06,Referral,web,9
2023-02-06,SMS,web,393
2023-02-06,Unassigned,iOS,9
2023-02-06,Unassigned,web,47
2023-02-07,Affiliates,web,362
2023-02-07,Direct,Android,3
2023-02-07,Direct,iOS,132
2023-02-07,Direct,web,644
2023-02-07,Display,web,1
2023-02-07,Email,iOS,1
2023-02-07,Email,web,831
2023-02-07,Organic Search,Android,8
2023-02-07,Organic Search,web,226
2023-02-07,Organic Shopping,web,7
2023-02-07,Organic Social,web,25
2023-02-07,Paid Search,Android,18
2023-02-07,Paid Search,iOS,1
2023-02-07,Paid Search,web,788
2023-02-07,Paid Social,web,243
2023-02-07,Payment Redirects,web,87
2023-02-07,Referral,web,1
2023-02-07,SMS,web,523
2023-02-07,Unassigned,iOS,6
2023-02-07,Unassigned,web,55
2023-02-08,Affiliates,web,372
2023-02-08,Direct,Android,4
2023-02-08,Direct,iOS,234
2023-02-08,Direct,web,834
2023-02-08,Email,web,1117
2023-02-08,Organic Search,Android,30
2023-02-08,Organic Search,web,206
2023-02-08,Organic Social,web,5
2023-02-08,Paid Search,Android,9
2023-02-08,Paid Search,iOS,7
2023-02-08,Paid Search,web,892
2023-02-08,Paid Social,web,229
2023-02-08,Payment Redirects,web,73
2023-02-08,Referral,web,18
2023-02-08,SMS,web,560
2023-02-08,Unassigned,Android,3
2023-02-08,Unassigned,iOS,1
2023-02-08,Unassigned,web,96
2023-02-09,Affiliates,web,369
2023-02-09,Direct,Android,5
2023-02-09,Direct,iOS,189
2023-02-09,Direct,web,755
2023-02-09,Display,web,5
2023-02-09,Email,web,866
2023-02-09,Organic Search,Android,18
2023-02-09,Organic Search,web,232
2023-02-09,Organic Shopping,web,1
2023-02-09,Organic Social,web,17
2023-02-09,Paid Search,Android,22
2023-02-09,Paid Search,web,650
2023-02-09,Paid Social,web,226
2023-02-09,Payment Redirects,web,113
2023-02-09,SMS,web,474
2023-02-09,Unassigned,iOS,2
2023-02-09,Unassigned,web,81
2023-02-10,Affiliates,web,322
2023-02-10,Direct,Android,7
2023-02-10,Direct,iOS,199
2023-02-10,Direct,web,874
2023-02-10,Email,iOS,3
2023-02-10,Email,web,849
2023-02-10,Organic Search,Android,16
2023-02-10,Organic Search,web,191
2023-02-10,Organic Shopping,web,3
2023-02-10,Organic Social,web,18
2023-02-10,Paid Search,Android,18
2023-02-10,Paid Search,iOS,4
2023-02-10,Paid Search,web,801
2023-02-10,Paid Social,web,365
2023-02-10,Payment Redirects,web,79
2023-02-10,Referral,web,7
2023-02-10,SMS,web,323
2023-02-10,Unassigned,iOS,4
2023-02-10,Unassigned,web,36
2023-02-11,Affiliates,web,304
2023-02-11,Direct,Android,1
2023-02-11,Direct,iOS,217
2023-02-11,Direct,web,784
2023-02-11,Email,web,680
2023-02-11,Organic Search,Android,10
2023-02-11,Organic Search,web,200
2023-02-11,Organic Shopping,web,7
2023-02-11,Organic Social,web,38
2023-02-11,Paid Search,Android,6
2023-02-11,Paid Search,iOS,12
2023-02-11,Paid Search,web,880
2023-02-11,Paid Social,web,225
2023-02-11,Payment Redirects,web,50
2023-02-11,Referral,web,7
2023-02-11,SMS,web,404
2023-02-11,Unassigned,iOS,6
2023-02-11,Unassigned,web,85
2023-02-12,Affiliates,web,376
2023-02-12,Direct,iOS,266
2023-02-12,Direct,web,806
2023-02-12,Display,web,2
2023-02-12,Email,web,854
2023-02-12,Organic Search,Android,1
2023-02-12,Organic Search,web,205
2023-02-12,Organic Social,web,13
2023-02-12,Paid Search,Android,8
2023-02-12,Paid Search,iOS,9
2023-02-12,Paid Search,web,827
2023-02-12,Paid Social,web,236
2023-02-12,Payment Redirects,web,73
2023-02-12,Referral,web,2
2023-02-12,SMS,web,743
2023-02-12,Unassigned,iOS,3
2023-02-12,Unassigned,web,158
2023-02-13,Affiliates,web,337
2023-02-13,Direct,Android,8
2023-02-13,Direct,iOS,247
2023-02-13,Direct,web,764
2023-02-13,Email,Android,6
2023-02-13,Email,web,729
2023-02-13,Organic Search,Android,15
2023-02-13,Organic Search,web,241
2023-02-13,Organic Shopping,web,5
2023-02-13,Organic Social,web,8
2023-02-13,Paid Search,Android,12
2023-02-13,Paid Search,iOS,12
2023-02-13,Paid Search,web,795
2023-02-13,Paid Social,web,279
2023-02-13,Payment Redirects,web,104
2023-02-13,Referral,web,10
2023-02-13,SMS,web,630
2023-02-13,Unassigned,iOS,5
2023-02-13,Unassigned,web,61
2023-02-14,Affiliates,web,214
2023-02-14,Direct,iOS,208
2023-02-14,Direct,web,714
2023-02-14,Email,iOS,9
2023-02-14,Email,web,697
2023-02-14,Organic Search,Android,31
2023-02-14,Organic Search,web,175
2023-02-14,Organic Shopping,web,3
2023-02-14,Organic Social,web,30
2023-02-14,Paid Search,Android,17
2023-02-14,Paid Search,web,709
2023-02-14,Paid Social,web,281
2023-02-14,Payment Redirects,web,77
2023-02-14,Referral,web,4
2023-02-14,SMS,web,433
2023-02-14,Unassigned,iOS,3
2023-02-14,Unassigned,web,58
2023-02-15,Affiliates,web,333
2023-02-15,Direct,Android,16
2023-02-15,Direct,iOS,192
2023-02-15,Direct,web,724
2023-02-15,Email,iOS,3
2023-02-15,Email,web,695
2023-02-15,Organic Search,Android,19
2023-02-15,Organic Search,web,239
2023-02-15,Organic Shopping,web,7
2023-02-15,Organic Social,web,48
2023-02-15,Paid Search,Android,16
2023-02-15,Paid Search,iOS,1
2023-02-15,Paid Search,web,789
2023-02-15,Paid Social,web,399
2023-02-15,Paid Video,web,1
2023-02-15,Payment Redirects,web,116
2023-02-15,Referral,web,14
2023-02-15,SMS,web,441
2023-02-15,Unassigned,iOS,3
2023-02-15,Unassigned,web,35
2023-02-16,Affiliates,web,547
2023-02-16,Direct,Android,7
2023-02-16,Direct,iOS,297
2023-02-16,Direct,web,1136
2023-02-16,Display,web,3
2023-02-16,Email,iOS,2
2023-02-16,Email,web,1023
2023-02-16,Organic Search,Android,18
2023-02-16,Organic Search,web,330
2023-02-16,Organic Shopping,web,5
2023-02-16,Organic Social,Android,3
2023-02-16,Organic Social,web,51
2023-02-16,Paid Search,Android,30
2023-02-16,Paid Search,web,1034
2023-02-16,Paid Social,web,482
2023-02-16,Payment Redirects,web,84
2023-02-16,Referral,web,6
2023-02-16,SMS,web,788
2023-02-16,Unassigned,iOS,4
2023-02-16,Unassigned,web,122
2023-02-17,Affiliates,web,575
2023-02-17,Direct,Android,5
2023-02-17,Direct,iOS,415
2023-02-17,Direct,web,1293
2023-02-17,Email,Android,2
2023-02-17,Email,web,984
2023-02-17,Organic Search,Android,6
2023-02-17,Organic Search,web,349
2023-02-17,Organic Shopping,web,4
2023-02-17,Organic Social,web,78
2023-02-17,Paid Search,Android,16
2023-02-17,Paid Search,iOS,11
2023-02-17,Paid Search,web,1209
2023-02-17,Paid Social,web,584
2023-02-17,Payment Redirects,web,200
2023-02-17,Referral,web,14
2023-02-17,SMS,web,739
2023-02-17,Unassigned,iOS,7
2023-02-17,Unassigned,web,192
2023-02-18,Affiliates,web,414
2023-02-18,Direct,Android,2
2023-02-18,Direct,iOS,334
2023-02-18,Direct,web,1166
2023-02-18,Email,web,1154
2023-02-18,Organic Search,Android,12
2023-02-18,Organic Search,web,216
2023-02-18,Organic Shopping,web,2
2023-02-18,Organic Social,web,72
2023-02-18,Paid Search,Android,28
2023-02-18,Paid Search,iOS,3
2023-02-18,Paid Search,web,1080
2023-02-18,Paid Social,web,597
2023-02-18,Payment Redirects,web,139
2023-02-18,Referral,web,19
2023-02-18,SMS,web,991
2023-02-18,Unassigned,Android,2
2023-02-18,Unassigned,web,163
2023-02-19,Affiliates,web,598
2023-02-19,Direct,Android,18
2023-02-19,Direct,iOS,310
2023-02-19,Direct,web,1466
2023-02-19,Email,iOS,5
2023-02-19,Email,web,1465
2023-02-19,Organic Search,Android,11
2023-02-19,Organic Search,web,350
2023-02-19,Organic Shopping,web,5
2023-02-19,Organic Social,web,54
2023-02-19,Paid Search,Android,32
2023-02-19,Paid Search,iOS,29
2023-02-19,Paid Search,web,1345
2023-02-19,Paid Social,web,570
2023-02-19,Payment Redirects,web,160
2023-02-19,Referral,web,7
2023-02-19,SMS,web,1054
2023-02-19,Unassigned,iOS,3
2023-02-19,Unassigned,web,180
2023-02-20,Affiliates,web,600
2023-02-20,Direct,Android,10
2023-02-20,Direct,iOS,418
2023-02-20,Direct,web,1535
2023-02-20,Display,web,2
2023-02-20,Email,web,1510
2023-02-20,Organic Search,Android,17
2023-02-20,Organic Search,web,357
2023-02-20,Organic Shopping,web,13
2023-02-20,Organic Social,web,52
2023-02-20,Paid Search,Android,62
2023-02-20,Paid Search,iOS,7
2023-02-20,Paid Search,web,1353
2023-02-20,Paid Social,web,560
2023-02-20,Payment Redirects,web,152
2023-02-20,Referral,web,19
2023-02-20,SMS,web,991
2023-02-20,Unassigned,Android,8
2023-02-20,Unassigned,iOS,6
2023-02-20,Unassigned,web,210
2023-02-21,Affiliates,web,414
2023-02-21,Direct,Android,13
2023-02-21,Direct,iOS,336
2023-02-21,Direct,web,1221
2023-02-21,Email,Android,1
2023-02-21,Email,web,963
2023-02-21,Organic Search,Android,11
2023-02-21,Organic Search,web,272
2023-02-21,Organic Shopping,web,8
2023-02-21,Organic Social,web,62
2023-02-21,Paid Search,Android,28
2023-02-21,Paid Search,iOS,16
2023-02-21,Paid Search,web,987
2023-02-21,Paid Social,web,454
2023-02-21,Payment Redirects,web,125
2023-02-21,Referral,web,6
2023-02-21,SMS,web,695
2023-02-21,Unassigned,iOS,1
2023-02-21,Unassigned,web,121
2023-02-22,Affiliates,web,484
2023-02-22,Direct,Android,31
2023-02-22,Direct,iOS,357
2023-02-22,Direct,web,1343
2023-02-22,Email,iOS,5
2023-02-22,Email,web,1657
2023-02-22,Organic Search,Android,7
2023-02-22,Organic Search,web,399
2023-02-22,Organic Shopping,web,7
2023-02-22,Organic Social,web,71
2023-02-22,Paid Search,Android,67
2023-02-22,Paid Search,iOS,12
2023-02-22,Paid Search,web,1343
2023-02-22,Paid Social,web,480
2023-02-22,Payment Redirects,web,148
2023-02-22,Referral,web,7
2023-02-22,SMS,web,1200
2023-02-22,Unassigned,iOS,8
2023-02-22,Unassigned,web,188
2023-02-23,Affiliates,web,545
2023-02-23,Direct,Android,23
2023-02-23,Direct,iOS,373
2023-02-23,Direct,web,1301
2023-02-23,Display,web,7
2023-02-23,Email,web,1295
2023-02-23,Organic Search,Android,20
2023-02-23,Organic Search,web,305
2023-02-23,Organic Shopping,web,1
2023-02-23,Organic Social,web,90
2023-02-23,Paid Search,Android,19
2023-02-23,Paid Search,iOS,4
2023-02-23,Paid Search,web,1102
2023-02-23,Paid Social,web,504
2023-02-23,Payment Redirects,web,123
2023-02-23,Referral,web,30
2023-02-23,SMS,web,1002
2023-02-23,Unassigned,iOS,33
2023-02-23,Unassigned,web,189
2023-02-24,Affiliates,web,516
2023-02-24,Direct,Android,7
2023-02-24,Direct,iOS,282
2023-02-24,Direct,web,1333
2023-02-24,Display,web,4
2023-02-24,Email,iOS,8
2023-02-24,Email,web,1357
2023-02-24,Organic Search,Android,20
2023-02-24,Organic Search,web,372
2023-02-24,Organic Shopping,web,2
2023-02-24,Organic Social,web,22
2023-02-24,Paid Search,Android,25
2023-02-24,Paid Search,iOS,14
2023-02-24,Paid Search,web,1080
2023-02-24,Paid Social,web,412
2023-02-24,Payment Redirects,web,144
2023-02-24,Referral,web,8
2023-02-24,SMS,web,890
2023-02-24,Unassigned,Android,4
2023-02-24,Unassigned,iOS,1
2023-02-24,Unassigned,web,193
2023-02-25,Affiliates,web,417
2023-02-25,Direct,Android,3
2023-02-25,Direct,iOS,255
2023-02-25,Direct,web,963
2023-02-25,Email,web,1198
2023-02-25,Organic Search,Android,24
2023-02-25,Organic Search,web,267
2023-02-25,Organic Shopping,web,2
2023-02-25,Organic Social,web,26
2023-02-25,Paid Search,Android,6
2023-02-25,Paid Search,iOS,1
2023-02-25,Paid Search,web,848
2023-02-25,Paid Social,web,427
2023-02-25,Payment Redirects,web,308
2023-02-25,Referral,web,5
2023-02-25,SMS,web,1012
2023-02-25,Unassigned,web,204
2023-02-26,Affiliates,web,451
2023-02-26,Direct,Android,3
2023-02-26,Direct,iOS,236
2023-02-26,Direct,web,993
2023-02-26,Email,Android,2
2023-02-26,Email,web,1043
2023-02-26,Organic Search,Android,20
2023-02-26,Organic Search,web,322
2023-02-26,Organic Shopping,web,1
2023-02-26,Organic Social,Android,4
2023-02-26,Organic Social,web,49
2023-02-26,Paid Search,Android,11
2023-02-26,Paid Search,iOS,23
2023-02-26,Paid Search,web,1005
2023-02-26,Paid Social,web,483
2023-02-26,Payment Redirects,web,99
2023-02-26,Referral,web,3
2023-02-26,SMS,web,945
2023-02-26,Unassigned,iOS,6
2023-02-26,Unassigned,web,198
2023-02-27,Affiliates,web,351
2023-02-27,Direct,Android,3
2023-02-27,Direct,iOS,231
2023-02-27,Direct,web,883
2023-02-27,Email,web,814
2023-02-27,Organic Search,Android,13
2023-02-27,Organic Search,web,225
2023-02-27,Organic Shopping,web,1
2023-02-27,Organic Social,web,43
2023-02-27,Paid Search,Android,17
2023-02-27,Paid Search,iOS,9
2023-02-27,Paid Search,web,988
2023-02-27,Paid Social,web,372
2023-02-27,Payment Redirects,web,55
2023-02-27,Referral,web,6
2023-02-27,SMS,web,836
2023-02-27,Unassigned,iOS,7
2023-02-27,Unassigned,web,169
2023-02-28,Affiliates,web,440
2023-02-28,Direct,Android,11
2023-02-28,Direct,iOS,220
2023-02-28,Direct,web,758
2023-02-28,Email,iOS,15
2023-02-28,Email,web,883
2023-02-28,Organic Search,Android,5
2023-02-28,Organic Search,web,238
2023-02-28,Organic Social,web,52
2023-02-28,Paid Search,Android,25
2023-02-28,Paid Search,iOS,5
2023-02-28,Paid Search,web,906
2023-02-28,Paid Social,web,386
2023-02-28,Payment Redirects,web,118
2023-02-28,Referral,web,9
2023-02-28,SMS,web,837
2023-02-28,Unassigned,iOS,4
2023-02-28,Unassigned,web,173
2023-03-01,Affiliates,web,580
2023-03-01,Direct,Android,8
2023-03-01,Direct,iOS,234
2023-03-01,Direct,web,827
2023-03-01,Email,iOS,11
2023-03-01,Email,web,942
2023-03-01,Organic Search,Android,11
2023-03-01,Organic Search,web,363
2023-03-01,Organic Shopping,web,7
2023-03-01,Organic Social,web,71
2023-03-01,Paid Search,Android,38
2023-03-01,Paid Search,iOS,5
2023-03-01,Paid Search,web,1026
2023-03-01,Paid Social,web,364
2023-03-01,Payment Redirects,web,177
2023-03-01,Referral,web,5
2023-03-01,SMS,web,915
2023-03-01,Unassigned,Android,14
2023-03-01,Unassigned,iOS,1
2023-03-01,Unassigned,web,147
2023-03-02,Affiliates,web,296
2023-03-02,Direct,Android,4
2023-03-02,Direct,iOS,250
2023-03-02,Direct,web,809
2023-03-02,Email,iOS,11
2023-03-02,Email,web,707
2023-03-02,Organic Search,Android,21
2023-03-02,Organic Search,web,193
2023-03-02,Organic Social,web,39
2023-03-02,Paid Search,Android,42
2023-03-02,Paid Search,iOS,3
2023-03-02,Paid Search,web,986
2023-03-02,Paid Social,web,382
2023-03-02,Payment Redirects,web,102
2023-03-02,Referral,web,5
2023-03-02,SMS,web,617
2023-03-02,Unassigned,web,113
2023-03-03,Affiliates,web,556
2023-03-03,Direct,Android,1
2023-03-03,Direct,iOS,308
2023-03-03,Direct,web,1053
2023-03-03,Display,web,6
2023-03-03,Email,web,1630
2023-03-03,Organic Search,Android,25
2023-03-03,Organic Search,web,314
2023-03-03,Organic Shopping,web,1
2023-03-03,Organic Social,web,32
2023-03-03,Paid Search,Android,41
2023-03-03,Paid Search,iOS,1
2023-03-03,Paid Search,web,1099
2023-03-03,Paid Social,web,445
2023-03-03,Payment Redirects,web,114
2023-03-03,Referral,web,3
2023-03-03,SMS,web,1527
2023-03-03,Unassigned,web,238
2023-03-04,Affiliates,web,652
2023-03-04,Direct,Android,1
2023-03-04,Direct,iOS,348
2023-03-04,Direct,web,1237
2023-03-04,Email,web,1683
2023-03-04,Organic Search,Android,24
2023-03-04,Organic Search,web,278
2023-03-04,Organic Shopping,web,1
2023-03-04,Organic Social,Android,4
2023-03-04,Organic Social,web,17
2023-03-04,Paid Search,Android,46
2023-03-04,Paid Search,web,1211
2023-03-04,Paid Social,web,341
2023-03-04,Payment Redirects,web,133
2023-03-04,Referral,web,18
2023-03-04,SMS,web,1616
2023-03-04,Unassigned,iOS,3
2023-03-04,Unassigned,web,207
2023-03-05,Affiliates,web,299
2023-03-05,Direct,Android,12
2023-03-05,Direct,iOS,292
2023-03-05,Direct,web,961
2023-03-05,Email,web,789
2023-03-05,Organic Search,Android,2
2023-03-05,Organic Search,web,251
2023-03-05,Organic Shopping,web,10
2023-03-05,Organic Social,Android,2
2023-03-05,Organic Social,web,26
2023-03-05,Paid Search,Android,10
2023-03-05,Paid Search,iOS,20
2023-03-05,Paid Search,web,1030
2023-03-05,Paid Social,web,322
2023-03-05,Payment Redirects,web,86
2023-03-05,Referral,web,6
2023-03-05,SMS,web,743
2023-03-05,Unassigned,web,132
2023-03-06,Affiliates,web,308
2023-03-06,Direct,Android,7
2023-03-06,Direct,iOS,190
2023-03-06,Direct,web,675
2023-03-06,Display,web,5
2023-03-06,Email,web,559
2023-03-06,Organic Search,Android,8
2023-03-06,Organic Search,web,174
2023-03-06,Organic Shopping,web,11
2023-03-06,Organic Social,Android,1
2023-03-06,Organic Social,web,38
2023-03-06,Paid Search,Android,17
2023-03-06,Paid Search,web,781
2023-03-06,Paid Social,web,282
2023-03-06,Payment Redirects,web,77
2023-03-06,Referral,web,7
2023-03-06,SMS,web,531
2023-03-06,Unassigned,Android,3
2023-03-06,Unassigned,iOS,1
2023-03-06,Unassigned,web,47
2023-03-07,Affiliates,web,241
2023-03-07,Direct,Android,12
2023-03-07,Direct,iOS,197
2023-03-07,Direct,web,748
2023-03-07,Email,iOS,3
2023-03-07,Email,web,777
2023-03-07,Organic Search,Android,10
2023-03-07,Organic Search,web,232
2023-03-07,Organic Shopping,web,1
2023-03-07,Organic Social,web,42
2023-03-07,Paid Search,Android,9
2023-03-07,Paid Search,iOS,7
2023-03-07,Paid Search,web,922
2023-03-07,Paid Social,web,276
2023-03-07,Payment Redirects,web,85
2023-03-07,Referral,web,1
2023-03-07,SMS,web,438
2023-03-07,Unassigned,Android,2
2023-03-07,Unassigned,web,107
2023-03-08,Affiliates,web,459
2023-03-08,Direct,Android,14
2023-03-08,Direct,iOS,316
2023-03-08,Direct,web,1122
2023-03-08,Display,web,1
2023-03-08,Email,web,1091
2023-03-08,Organic Search,Android,6
2023-03-08,Organic Search,web,257
2023-03-08,Organic Shopping,web,1
2023-03-08,Organic Social,web,37
2023-03-08,Paid Search,Android,44
2023-03-08,Paid Search,iOS,3
2023-03-08,Paid Search,web,1080
2023-03-08,Paid Social,web,383
2023-03-08,Payment Redirects,web,93
2023-03-08,Referral,web,4
2023-03-08,SMS,web,1007
2023-03-08,Unassigned,Android,8
2023-03-08,Unassigned,web,121
2023-03-09,Affiliates,web,483
2023-03-09,Direct,Android,7
2023-03-09,Direct,iOS,295
2023-03-09,Direct,web,1183
2023-03-09,Email,iOS,4
2023-03-09,Email,web,1124
2023-03-09,Organic Search,Android,11
2023-03-09,Organic Search,web,332
2023-03-09,Organic Shopping,web,2
2023-03-09,Organic Social,web,35
2023-03-09,Paid Search,Android,40
2023-03-09,Paid Search,iOS,2
2023-03-09,Paid Search,web,1133
2023-03-09,Paid Social,web,387
2023-03-09,Payment Redirects,web,100
2023-03-09,Referral,web,4
2023-03-09,SMS,web,872
2023-03-09,Unassigned,iOS,8
2023-03-09,Unassigned,web,139
2023-03-10,Affiliates,web,496
2023-03-10,Direct,Android,8
2023-03-10,Direct,iOS,241
2023-03-10,Direct,web,1076
2023-03-10,Email,iOS,1
2023-03-10,Email,web,1239
2023-03-10,Organic Search,Android,24
2023-03-10,Organic Search,web,325
2023-03-10,Organic Shopping,web,1
2023-03-10,Organic Social,web,94
2023-03-10,Paid Search,Android,71
2023-03-10,Paid Search,iOS,19
2023-03-10,Paid Search,web,1000
2023-03-10,Paid Social,web,385
2023-03-10,Payment Redirects,web,163
2023-03-10,Referral,web,7
2023-03-10,SMS,web,832
2023-03-10,Unassigned,iOS,5
2023-03-10,Unassigned,web,153
2023-03-11,Affiliates,web,405
2023-03-11,Direct,Android,9
2023-03-11,Direct,iOS,209
2023-03-11,Direct,web,936
2023-03-11,Display,web,2
2023-03-11,Email,iOS,5
2023-03-11,Email,web,992
2023-03-11,Organic Search,Android,27
2023-03-11,Organic Search,web,287
2023-03-11,Organic Shopping,web,1
2023-03-11,Organic Social,web,64
2023-03-11,Paid Search,Android,35
2023-03-11,Paid Search,iOS,4
2023-03-11,Paid Search,web,940
2023-03-11,Paid Social,web,431
2023-03-11,Payment Redirects,web,136
2023-03-11,Referral,web,2
2023-03-11,SMS,web,739
2023-03-11,Unassigned,web,133
2023-03-12,Affiliates,web,443
2023-03-12,Direct,iOS,171
2023-03-12,Direct,web,861
2023-03-12,Email,web,1049
2023-03-12,Organic Search,Android,2
2023-03-12,Organic Search,web,299
2023-03-12,Organic Shopping,web,2
2023-03-12,Organic Social,web,28
2023-03-12,Paid Search,Android,24
2023-03-12,Paid Search,iOS,8
2023-03-12,Paid Search,web,1053
2023-03-12,Paid Social,web,369
2023-03-12,Payment Redirects,web,110
2023-03-12,Referral,web,22
2023-03-12,SMS,web,486
2023-03-12,Unassigned,iOS,2
2023-03-12,Unassigned,web,137
2023-03-13,Affiliates,web,354
2023-03-13,Direct,Android,8
2023-03-13,Direct,iOS,221
2023-03-13,Direct,web,978
2023-03-13,Email,web,707
2023-03-13,Organic Search,Android,13
2023-03-13,Organic Search,web,352
2023-03-13,Organic Shopping,web,13
2023-03-13,Organic Social,web,51
2023-03-13,Paid Search,Android,26
2023-03-13,Paid Search,iOS,9
2023-03-13,Paid Search,web,1032
2023-03-13,Paid Social,web,394
2023-03-13,Payment Redirects,web,110
2023-03-13,Referral,web,6
2023-03-13,SMS,web,497
2023-03-13,Unassigned,Android,2
2023-03-13,Unassigned,iOS,2
2023-03-13,Unassigned,web,168
2023-03-14,Affiliates,web,409
2023-03-14,Direct,Android,6
2023-03-14,Direct,iOS,275
