date,windows_signage,interiors,store_promo_ty,ecom_promo_ty,store_promo_ly,ecom_promo_ly
2025-02-23,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD ",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD "
2025-02-24,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)"
2025-02-25,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)"
2025-02-26,,,30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)",30% OFF REG; 40% OFF DENIM; KIDS 40% OFF; $29 M & W HENLEYS; 50% OFF SELECT M DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60% OFF),"REG PPT: DENIM STARTING AT $79, ACTIVE STARTING AT $49, TEES & TANKS STARTING AT $29, EXTRA 50% OFF MD (MYSTERY CLEARANCE FLASH SALE)"
2025-02-27,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD (EMAIL & SMS ONLY STACKBLE 20% OFF $150+)",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD  (DESERT DAZE LAUNCH) SMS ONLY LEAP DAY STACKBLE 20% OFF $150+"
2025-02-28,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-03-01,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-03-02,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-03-03,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%)," 30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD"
2025-03-04,,,30% OFF REG; 40% OFF MEN'S DENIM & TEES; KIDS 40% OFF; HATS 40% OFF; $39 M POLOS; $29 & $39 W TOPS; 50% OFF M DENIM TABLE; $59 SELECT M & W ACTIVE; 50% OFF CLEARANCE (SELECT 60% OFF),"30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD  ",30% OFF REG; $29 M & W HENLEYS; 50% OFF SELECT DENIM; $39 M POLOS; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%),"30-50% OFF REG, TEES STARTING AT $19, EXTRA 50-60% OFF MD "
2025-03-05,"*SEG: FRIENDS AND FAMILY ADDITIONAL 40% OFF
*GWP: FREE GIFT WITH $150 PURCHASE",*NEW KEY ITEM SIGANGE: $39 M & W POLOS & $29 W TANKS,FLOORSET/NEW MDS; FRIENDS & FAMILY: 40% OFF REG; 50% OFF M DENIM TABLE; $39 M POLOS & $29 W TANKS; $49 SELECT DENIM (CANADA ONLY); 50% OFF CLEARANCE (SELECT 60%); GWP HAT FREE W/$150 PURCHASE,"FLOORSET/NEW MD'S; FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M & W POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (SITEWIDE 20% OFF $150+ STACKABLE)",FLOORSET/NEW MDS; FRIENDS & FAMILY: 40% OFF REG; $29 HENLEYS; 50% OFF SELECT DENIM; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%); GWP FREE CARDHOLDER W/$150 PURCHASE,"FLOORSET/NEW MD'S; FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (EMAIL/SMS ONLY 20% OFF $150+ STACKABLE)"
2025-03-06,,,FRIENDS & FAMILY: 40% OFF REG; 50% OFF M DENIM TABLE; $39 M POLOS & $29 W TANKS; $49 SELECT DENIM (CANADA ONLY); 50% OFF CLEARANCE (SELECT 60%); GWP HAT FREE W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M & W POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (SITEWIDE 20% OFF $150+ STACKABLE)",FRIENDS & FAMILY: 40% OFF REG; $29 HENLEYS; 50% OFF SELECT DENIM; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%); GWP FREE CARDHOLDER W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (EMAIL/SMS ONLY 20% OFF $150+ STACKABLE) (SAWEETIE DEL 2 DROP)"
2025-03-07,,,FRIENDS & FAMILY: 40% OFF REG; 50% OFF M DENIM TABLE; $39 M POLOS & $29 W TANKS; $49 SELECT DENIM (CANADA ONLY); 50% OFF CLEARANCE (SELECT 60%); GWP HAT FREE W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M & W POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (SITEWIDE 20% OFF $150+ STACKABLE)",FRIENDS & FAMILY: 40% OFF REG; $29 HENLEYS; 50% OFF SELECT DENIM; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%); GWP FREE CARDHOLDER W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (EMAIL/SMS ONLY 20% OFF $150+ STACKABLE)"
2025-03-08,,,FRIENDS & FAMILY: 40% OFF REG; 50% OFF M DENIM TABLE; $39 M POLOS & $29 W TANKS; $49 SELECT DENIM (CANADA ONLY); 50% OFF CLEARANCE (SELECT 60%); GWP HAT FREE W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M & W POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (SITEWIDE 20% OFF $150+ STACKABLE)",FRIENDS & FAMILY: 40% OFF REG; $29 HENLEYS; 50% OFF SELECT DENIM; $59 SELECT M ACTIVE; $29 SUNGLASSES; 50% OFF CLEARANCE (SELECT 60%); GWP FREE CARDHOLDER W/$150 PURCHASE,"FRIENDS & FAMILY: 40% OFF REG (SELECT 30% & 50% OFF), $39 M POLOS & $29 W TANKS; EXTRA 50-60% OFF MD (EMAIL/SMS ONLY 20% OFF $150+ STACKABLE)"
