date,channel,quantity
2023-02-03,Organic Social,11
2023-02-03,Paid Search,674
2023-02-03,Paid Social,323
2023-02-03,Paid Video,1
2023-02-03,Payment Redirects,101
2023-02-03,Referral,8
2023-02-03,SMS,628
2023-02-03,Unassigned,84
2023-02-04,Affiliates,315
2023-02-04,Cross-network,383
2023-02-04,Direct,930
2023-02-04,Email,911
2023-02-04,Organic Search,229
2023-02-04,Organic Shopping,30
2023-02-04,Organic Social,3
2023-02-04,Paid Search,574
2023-02-04,Paid Social,305
2023-02-04,Payment Redirects,102
2023-02-04,Referral,7
2023-02-04,SMS,569
2023-02-04,Unassigned,109
2023-02-05,Affiliates,386
2023-02-05,Cross-network,355
2023-02-05,Direct,1136
2023-02-05,Display,4
2023-02-05,Email,808
2023-02-05,Organic Search,264
2023-02-05,Organic Shopping,15
2023-02-05,Organic Social,6
2023-02-05,Paid Search,629
2023-02-05,Paid Social,324
2023-02-05,Payment Redirects,120
2023-02-05,Referral,7
2023-02-05,SMS,509
2023-02-05,Unassigned,192
2023-02-06,Affiliates,317
2023-02-06,Cross-network,392
2023-02-06,Direct,906
2023-02-06,Email,693
2023-02-06,Organic Search,217
2023-02-06,Organic Shopping,4
2023-02-06,Organic Social,2
2023-02-06,Paid Search,469
2023-02-06,Paid Social,234
2023-02-06,Payment Redirects,104
2023-02-06,Referral,9
2023-02-06,SMS,393
2023-02-06,Unassigned,56
2023-02-07,Affiliates,362
2023-02-07,Cross-network,327
2023-02-07,Direct,779
2023-02-07,Display,1
2023-02-07,Email,832
2023-02-07,Organic Search,234
2023-02-07,Organic Shopping,17
2023-02-07,Organic Social,9
2023-02-07,Paid Search,480
2023-02-07,Paid Social,249
2023-02-07,Payment Redirects,87
2023-02-07,Referral,1
2023-02-07,SMS,523
2023-02-07,Unassigned,61
2023-02-08,Affiliates,372
2023-02-08,Cross-network,364
2023-02-08,Direct,1072
2023-02-08,Email,1117
2023-02-08,Organic Search,236
2023-02-08,Organic Social,2
2023-02-08,Paid Search,544
2023-02-08,Paid Social,232
2023-02-08,Payment Redirects,73
2023-02-08,Referral,18
2023-02-08,SMS,560
2023-02-08,Unassigned,100
2023-02-09,Affiliates,369
2023-02-09,Cross-network,265
2023-02-09,Direct,949
2023-02-09,Display,5
2023-02-09,Email,866
2023-02-09,Organic Search,250
2023-02-09,Organic Shopping,14
2023-02-09,Organic Social,2
2023-02-09,Paid Search,407
2023-02-09,Paid Social,226
2023-02-09,Payment Redirects,113
2023-02-09,Referral,2
2023-02-09,SMS,474
2023-02-09,Unassigned,83
2023-02-10,Affiliates,322
2023-02-10,Cross-network,325
2023-02-10,Direct,1080
2023-02-10,Email,852
2023-02-10,Organic Search,207
2023-02-10,Organic Shopping,16
2023-02-10,Paid Search,498
2023-02-10,Paid Social,367
2023-02-10,Payment Redirects,79
2023-02-10,Referral,10
2023-02-10,SMS,323
2023-02-10,Unassigned,40
2023-02-11,Affiliates,304
2023-02-11,Cross-network,421
2023-02-11,Direct,1002
2023-02-11,Email,680
2023-02-11,Organic Search,210
2023-02-11,Organic Shopping,32
2023-02-11,Organic Social,3
2023-02-11,Paid Search,477
2023-02-11,Paid Social,227
2023-02-11,Payment Redirects,50
2023-02-11,Referral,11
2023-02-11,SMS,404
2023-02-11,Unassigned,95
2023-02-12,Affiliates,376
2023-02-12,Cross-network,322
2023-02-12,Direct,1072
2023-02-12,Display,2
2023-02-12,Email,854
2023-02-12,Organic Search,206
2023-02-12,Organic Shopping,6
2023-02-12,Organic Social,5
2023-02-12,Paid Search,522
2023-02-12,Paid Social,236
2023-02-12,Payment Redirects,73
2023-02-12,Referral,4
2023-02-12,SMS,743
2023-02-12,Unassigned,161
2023-02-13,Affiliates,337
2023-02-13,Cross-network,295
2023-02-13,Direct,1019
2023-02-13,Email,735
2023-02-13,Organic Search,256
2023-02-13,Organic Shopping,5
2023-02-13,Paid Search,524
2023-02-13,Paid Social,281
2023-02-13,Payment Redirects,104
2023-02-13,Referral,15
2023-02-13,SMS,630
2023-02-13,Unassigned,67
2023-02-14,Affiliates,214
2023-02-14,Cross-network,309
2023-02-14,Direct,922
2023-02-14,Display,3
2023-02-14,Email,706
2023-02-14,Organic Search,206
2023-02-14,Organic Shopping,13
2023-02-14,Organic Social,10
2023-02-14,Paid Search,414
2023-02-14,Paid Social,286
2023-02-14,Payment Redirects,77
2023-02-14,Referral,9
2023-02-14,SMS,433
2023-02-14,Unassigned,61
2023-02-15,Affiliates,333
2023-02-15,Cross-network,282
2023-02-15,Direct,932
2023-02-15,Display,1
2023-02-15,Email,698
2023-02-15,Organic Search,258
2023-02-15,Organic Shopping,29
2023-02-15,Organic Social,26
2023-02-15,Paid Search,523
2023-02-15,Paid Social,399
2023-02-15,Paid Video,1
2023-02-15,Payment Redirects,116
2023-02-15,Referral,14
2023-02-15,SMS,441
2023-02-15,Unassigned,38
2023-02-16,Affiliates,547
2023-02-16,Cross-network,377
2023-02-16,Direct,1440
2023-02-16,Display,3
2023-02-16,Email,1025
2023-02-16,Organic Search,348
2023-02-16,Organic Shopping,20
2023-02-16,Organic Social,35
2023-02-16,Paid Search,687
2023-02-16,Paid Social,484
2023-02-16,Payment Redirects,84
2023-02-16,Referral,8
2023-02-16,SMS,788
2023-02-16,Unassigned,126
2023-02-17,Affiliates,575
2023-02-17,Cross-network,517
2023-02-17,Direct,1713
2023-02-17,Email,986
2023-02-17,Organic Search,355
2023-02-17,Organic Shopping,24
2023-02-17,Organic Social,44
2023-02-17,Paid Search,719
2023-02-17,Paid Social,586
2023-02-17,Payment Redirects,200
2023-02-17,Referral,26
2023-02-17,SMS,739
2023-02-17,Unassigned,199
2023-02-18,Affiliates,414
2023-02-18,Cross-network,376
2023-02-18,Direct,1502
2023-02-18,Display,3
2023-02-18,Email,1154
2023-02-18,Organic Search,228
2023-02-18,Organic Shopping,28
2023-02-18,Organic Social,35
2023-02-18,Paid Search,732
2023-02-18,Paid Social,602
2023-02-18,Payment Redirects,139
2023-02-18,Referral,25
2023-02-18,SMS,991
2023-02-18,Unassigned,165
2023-02-19,Affiliates,598
2023-02-19,Cross-network,577
2023-02-19,Direct,1794
2023-02-19,Display,2
2023-02-19,Email,1470
2023-02-19,Organic Search,361
2023-02-19,Organic Shopping,28
2023-02-19,Organic Social,28
2023-02-19,Paid Search,826
2023-02-19,Paid Shopping,1
2023-02-19,Paid Social,573
2023-02-19,Payment Redirects,160
2023-02-19,Referral,7
2023-02-19,SMS,1054
2023-02-19,Unassigned,183
2023-02-20,Affiliates,600
2023-02-20,Cross-network,481
2023-02-20,Direct,1963
2023-02-20,Display,6
2023-02-20,Email,1510
2023-02-20,Organic Search,374
2023-02-20,Organic Shopping,39
2023-02-20,Organic Social,14
2023-02-20,Paid Search,937
2023-02-20,Paid Social,560
2023-02-20,Payment Redirects,152
2023-02-20,Referral,31
2023-02-20,SMS,991
2023-02-20,Unassigned,224
2023-02-21,Affiliates,414
2023-02-21,Cross-network,449
2023-02-21,Direct,1570
2023-02-21,Display,15
2023-02-21,Email,964
2023-02-21,Organic Search,283
2023-02-21,Organic Shopping,42
2023-02-21,Organic Social,19
2023-02-21,Paid Search,567
2023-02-21,Paid Social,454
2023-02-21,Payment Redirects,125
2023-02-21,Referral,15
2023-02-21,SMS,695
2023-02-21,Unassigned,122
2023-02-22,Affiliates,484
2023-02-22,Cross-network,473
2023-02-22,Direct,1731
2023-02-22,Display,10
2023-02-22,Email,1662
2023-02-22,Organic Search,406
2023-02-22,Organic Shopping,47
2023-02-22,Organic Social,23
2023-02-22,Paid Search,939
2023-02-22,Paid Social,487
2023-02-22,Payment Redirects,148
2023-02-22,Referral,8
2023-02-22,SMS,1200
2023-02-22,Unassigned,196
2023-02-23,Affiliates,545
2023-02-23,Cross-network,337
2023-02-23,Direct,1697
2023-02-23,Display,10
2023-02-23,Email,1295
2023-02-23,Organic Search,325
2023-02-23,Organic Shopping,41
2023-02-23,Organic Social,39
2023-02-23,Paid Search,785
2023-02-23,Paid Social,515
2023-02-23,Payment Redirects,123
2023-02-23,Referral,30
2023-02-23,SMS,1002
2023-02-23,Unassigned,222
2023-02-24,Affiliates,516
2023-02-24,Cross-network,375
2023-02-24,Direct,1622
2023-02-24,Display,11
2023-02-24,Email,1365
2023-02-24,Organic Search,392
2023-02-24,Organic Shopping,13
2023-02-24,Organic Social,8
2023-02-24,Paid Search,737
2023-02-24,Paid Social,412
2023-02-24,Payment Redirects,144
2023-02-24,Referral,11
2023-02-24,SMS,890
2023-02-24,Unassigned,198
2023-02-25,Affiliates,417
2023-02-25,Cross-network,183
2023-02-25,Direct,1221
2023-02-25,Display,2
2023-02-25,Email,1198
2023-02-25,Organic Search,291
2023-02-25,Organic Shopping,27
2023-02-25,Paid Search,670
2023-02-25,Paid Social,428
2023-02-25,Payment Redirects,308
2023-02-25,Referral,5
2023-02-25,SMS,1012
2023-02-25,Unassigned,204
2023-02-26,Affiliates,451
2023-02-26,Cross-network,288
2023-02-26,Direct,1232
2023-02-26,Display,22
2023-02-26,Email,1045
2023-02-26,Organic Search,342
2023-02-26,Organic Shopping,24
2023-02-26,Organic Social,25
2023-02-26,Paid Search,729
2023-02-26,Paid Social,488
2023-02-26,Payment Redirects,99
2023-02-26,Referral,3
2023-02-26,SMS,945
2023-02-26,Unassigned,204
2023-02-27,Affiliates,351
2023-02-27,Cross-network,335
2023-02-27,Direct,1117
2023-02-27,Display,1
2023-02-27,Email,814
2023-02-27,Organic Search,238
2023-02-27,Organic Shopping,8
2023-02-27,Organic Social,21
2023-02-27,Paid Search,677
2023-02-27,Paid Shopping,1
2023-02-27,Paid Social,381
2023-02-27,Payment Redirects,55
2023-02-27,Referral,12
2023-02-27,SMS,836
2023-02-27,Unassigned,176
2023-02-28,Affiliates,440
2023-02-28,Cross-network,397
2023-02-28,Direct,989
2023-02-28,Display,3
2023-02-28,Email,898
2023-02-28,Organic Search,243
2023-02-28,Organic Shopping,21
2023-02-28,Organic Social,30
2023-02-28,Paid Search,536
2023-02-28,Paid Social,386
2023-02-28,Payment Redirects,118
2023-02-28,Referral,10
2023-02-28,SMS,837
2023-02-28,Unassigned,177
2023-03-01,Affiliates,580
2023-03-01,Cross-network,438
2023-03-01,Direct,1069
2023-03-01,Email,953
2023-03-01,Organic Search,374
2023-03-01,Organic Shopping,28
2023-03-01,Organic Social,44
2023-03-01,Paid Search,631
2023-03-01,Paid Social,369
2023-03-01,Payment Redirects,177
2023-03-01,Referral,6
2023-03-01,SMS,915
2023-03-01,Unassigned,162
2023-03-02,Affiliates,296
2023-03-02,Cross-network,394
2023-03-02,Direct,1063
2023-03-02,Display,2
2023-03-02,Email,718
2023-03-02,Organic Search,214
2023-03-02,Organic Shopping,19
2023-03-02,Organic Social,10
2023-03-02,Paid Search,635
2023-03-02,Paid Social,388
2023-03-02,Payment Redirects,102
2023-03-02,Referral,9
2023-03-02,SMS,617
2023-03-02,Unassigned,113
2023-03-03,Affiliates,556
2023-03-03,Cross-network,417
2023-03-03,Direct,1362
2023-03-03,Display,8
2023-03-03,Email,1630
2023-03-03,Organic Search,339
2023-03-03,Organic Shopping,9
2023-03-03,Organic Social,14
2023-03-03,Paid Search,722
2023-03-03,Paid Social,454
2023-03-03,Payment Redirects,114
2023-03-03,Referral,4
2023-03-03,SMS,1527
2023-03-03,Unassigned,238
2023-03-04,Affiliates,652
2023-03-04,Cross-network,512
2023-03-04,Direct,1586
2023-03-04,Display,7
2023-03-04,Email,1683
2023-03-04,Organic Search,302
2023-03-04,Organic Shopping,1
2023-03-04,Organic Social,18
2023-03-04,Paid Search,737
2023-03-04,Paid Shopping,1
2023-03-04,Paid Social,343
2023-03-04,Payment Redirects,133
2023-03-04,Referral,19
2023-03-04,SMS,1616
2023-03-04,Unassigned,210
2023-03-05,Affiliates,299
2023-03-05,Cross-network,462
2023-03-05,Direct,1265
2023-03-05,Display,3
2023-03-05,Email,789
2023-03-05,Organic Search,253
2023-03-05,Organic Shopping,23
2023-03-05,Organic Social,8
2023-03-05,Paid Search,595
2023-03-05,Paid Social,325
2023-03-05,Payment Redirects,86
2023-03-05,Referral,10
2023-03-05,SMS,743
2023-03-05,Unassigned,132
2023-03-06,Affiliates,308
2023-03-06,Cross-network,311
2023-03-06,Direct,872
2023-03-06,Display,5
2023-03-06,Email,559
2023-03-06,Organic Search,182
2023-03-06,Organic Shopping,26
2023-03-06,Organic Social,21
2023-03-06,Paid Search,487
2023-03-06,Paid Social,284
2023-03-06,Payment Redirects,77
2023-03-06,Referral,8
2023-03-06,SMS,531
2023-03-06,Unassigned,51
2023-03-07,Affiliates,241
2023-03-07,Cross-network,392
2023-03-07,Direct,957
2023-03-07,Email,780
2023-03-07,Organic Search,242
2023-03-07,Organic Shopping,23
2023-03-07,Organic Social,9
2023-03-07,Paid Search,546
2023-03-07,Paid Social,284
2023-03-07,Payment Redirects,85
2023-03-07,Referral,5
2023-03-07,SMS,437
2023-03-07,Unassigned,109
2023-03-08,Affiliates,459
2023-03-08,Cross-network,475
2023-03-08,Direct,1452
2023-03-08,Display,2
2023-03-08,Email,1091
2023-03-08,Organic Search,263
2023-03-08,Organic Shopping,25
2023-03-08,Organic Social,4
2023-03-08,Paid Search,651
2023-03-08,Paid Social,387
2023-03-08,Payment Redirects,93
2023-03-08,Referral,9
2023-03-08,SMS,1007
2023-03-08,Unassigned,129
2023-03-09,Affiliates,483
2023-03-09,Cross-network,451
2023-03-09,Direct,1485
2023-03-09,Display,11
2023-03-09,Email,1128
2023-03-09,Organic Search,343
2023-03-09,Organic Shopping,12
2023-03-09,Organic Social,18
2023-03-09,Paid Search,713
2023-03-09,Paid Social,391
2023-03-09,Payment Redirects,100
2023-03-09,Referral,7
2023-03-09,SMS,872
2023-03-09,Unassigned,147
2023-03-10,Affiliates,496
2023-03-10,Cross-network,450
2023-03-10,Direct,1325
2023-03-10,Display,11
2023-03-10,Email,1240
2023-03-10,Organic Search,349
2023-03-10,Organic Shopping,34
2023-03-10,Organic Social,45
2023-03-10,Paid Search,629
2023-03-10,Paid Social,386
2023-03-10,Payment Redirects,163
2023-03-10,Referral,22
2023-03-10,SMS,832
2023-03-10,Unassigned,158
2023-03-11,Affiliates,405
2023-03-11,Cross-network,392
2023-03-11,Direct,1154
2023-03-11,Display,7
2023-03-11,Email,997
2023-03-11,Organic Search,314
2023-03-11,Organic Shopping,7
2023-03-11,Organic Social,55
2023-03-11,Paid Search,582
2023-03-11,Paid Social,431
2023-03-11,Payment Redirects,136
2023-03-11,Referral,5
2023-03-11,SMS,739
2023-03-11,Unassigned,133
2023-03-12,Affiliates,443
2023-03-12,Cross-network,435
2023-03-12,Direct,1032
2023-03-12,Display,8
2023-03-12,Email,1049
2023-03-12,Organic Search,301
2023-03-12,Organic Shopping,15
2023-03-12,Organic Social,4
2023-03-12,Paid Search,642
2023-03-12,Paid Social,375
2023-03-12,Payment Redirects,110
2023-03-12,Referral,27
2023-03-12,SMS,486
2023-03-12,Unassigned,139
2023-03-13,Affiliates,354
2023-03-13,Cross-network,355
2023-03-13,Direct,1207
2023-03-13,Display,8
2023-03-13,Email,707
2023-03-13,Organic Search,365
2023-03-13,Organic Shopping,17
2023-03-13,Organic Social,41
2023-03-13,Paid Search,704
2023-03-13,Paid Social,400
2023-03-13,Payment Redirects,110
2023-03-13,Referral,6
2023-03-13,SMS,497
2023-03-13,Unassigned,172
2023-03-14,Affiliates,409
2023-03-14,Cross-network,389
2023-03-14,Direct,1332
2023-03-14,Display,2
2023-03-14,Email,823
2023-03-14,Organic Search,235
2023-03-14,Organic Shopping,28
2023-03-14,Organic Social,4
2023-03-14,Paid Search,543
2023-03-14,Paid Social,322
2023-03-14,Payment Redirects,91
2023-03-14,Referral,13
2023-03-14,SMS,784
2023-03-14,Unassigned,154
2023-03-15,Affiliates,395
2023-03-15,Cross-network,464
2023-03-15,Direct,1347
2023-03-15,Display,6
2023-03-15,Email,1165
2023-03-15,Organic Search,352
2023-03-15,Organic Shopping,60
2023-03-15,Organic Social,20
2023-03-15,Paid Search,698
2023-03-15,Paid Social,412
2023-03-15,Payment Redirects,123
2023-03-15,Referral,24
2023-03-15,SMS,938
2023-03-15,Unassigned,136
2023-03-16,Affiliates,289
2023-03-16,Cross-network,216
2023-03-16,Direct,884
2023-03-16,Display,7
2023-03-16,Email,561
2023-03-16,Organic Search,256
2023-03-16,Organic Shopping,11
2023-03-16,Organic Social,10
2023-03-16,Paid Search,457
2023-03-16,Paid Social,256
2023-03-16,Payment Redirects,68
2023-03-16,Referral,7
2023-03-16,SMS,471
2023-03-16,Unassigned,127
2023-03-17,Affiliates,305
2023-03-17,Cross-network,318
2023-03-17,Direct,944
2023-03-17,Display,10
2023-03-17,Email,530
2023-03-17,Organic Search,189
2023-03-17,Organic Shopping,17
2023-03-17,Organic Social,11
2023-03-17,Paid Search,441
2023-03-17,Paid Social,287
2023-03-17,Payment Redirects,75
2023-03-17,Referral,7
2023-03-17,SMS,618
2023-03-17,Unassigned,161
2023-03-18,Affiliates,417
2023-03-18,Cross-network,427
2023-03-18,Direct,1037
2023-03-18,Email,1022
2023-03-18,Organic Search,141
2023-03-18,Organic Shopping,5
2023-03-18,Organic Social,2
2023-03-18,Paid Search,560
2023-03-18,Paid Social,294
2023-03-18,Payment Redirects,124
2023-03-18,Referral,6
2023-03-18,SMS,1037
2023-03-18,Unassigned,233
2023-03-19,Affiliates,558
2023-03-19,Cross-network,410
2023-03-19,Direct,1334
2023-03-19,Display,9
2023-03-19,Email,1037
2023-03-19,Organic Search,318
2023-03-19,Organic Shopping,14
2023-03-19,Organic Social,14
2023-03-19,Paid Search,644
2023-03-19,Paid Social,362
2023-03-19,Paid Video,1
2023-03-19,Payment Redirects,122
2023-03-19,Referral,3
2023-03-19,SMS,1009
2023-03-19,Unassigned,228
2023-03-20,Affiliates,331
2023-03-20,Cross-network,264
2023-03-20,Direct,848
2023-03-20,Display,4
2023-03-20,Email,509
2023-03-20,Organic Search,148
2023-03-20,Organic Shopping,12
2023-03-20,Organic Social,11
2023-03-20,Paid Search,419
2023-03-20,Paid Social,244
2023-03-20,Payment Redirects,65
2023-03-20,Referral,4
2023-03-20,SMS,403
2023-03-20,Unassigned,89
2023-03-21,Affiliates,238
2023-03-21,Cross-network,265
2023-03-21,Direct,926
2023-03-21,Email,587
2023-03-21,Organic Search,150
2023-03-21,Organic Shopping,24
2023-03-21,Organic Social,7
2023-03-21,Paid Search,454
2023-03-21,Paid Social,231
2023-03-21,Payment Redirects,131
2023-03-21,Referral,10
2023-03-21,SMS,572
2023-03-21,Unassigned,86
2023-03-22,Affiliates,365
2023-03-22,Cross-network,262
2023-03-22,Direct,995
2023-03-22,Email,1081
2023-03-22,Organic Search,177
2023-03-22,Organic Shopping,11
2023-03-22,Organic Social,10
2023-03-22,Paid Search,453
2023-03-22,Paid Social,243
2023-03-22,Payment Redirects,91
2023-03-22,Referral,6
2023-03-22,SMS,1304
2023-03-22,Unassigned,184
2023-03-23,Affiliates,598
2023-03-23,Cross-network,312
2023-03-23,Direct,1256
2023-03-23,Display,2
2023-03-23,Email,1168
2023-03-23,Organic Search,328
2023-03-23,Organic Shopping,14
2023-03-23,Organic Social,144
2023-03-23,Paid Search,475
2023-03-23,Paid Social,296
2023-03-23,Payment Redirects,140
2023-03-23,Referral,30
2023-03-23,SMS,1333
2023-03-23,Unassigned,131
2023-03-24,Affiliates,457
2023-03-24,Cross-network,320
2023-03-24,Direct,1237
2023-03-24,Email,1234
2023-03-24,Organic Search,345
2023-03-24,Organic Shopping,11
2023-03-24,Organic Social,36
2023-03-24,Paid Search,589
2023-03-24,Paid Social,297
2023-03-24,Payment Redirects,100
2023-03-24,Referral,10
2023-03-24,SMS,1158
2023-03-24,Unassigned,131
2023-03-25,Affiliates,415
2023-03-25,Cross-network,262
2023-03-25,Direct,976
2023-03-25,Email,863
2023-03-25,Organic Search,278
2023-03-25,Organic Shopping,19
2023-03-25,Organic Social,15
2023-03-25,Paid Search,533
2023-03-25,Paid Shopping,3
2023-03-25,Paid Social,206
2023-03-25,Payment Redirects,65
2023-03-25,Referral,9
2023-03-25,SMS,593
2023-03-25,Unassigned,133
2023-03-26,Affiliates,459
2023-03-26,Cross-network,344
2023-03-26,Direct,1223
2023-03-26,Email,1210
2023-03-26,Organic Search,190
2023-03-26,Organic Shopping,8
2023-03-26,Organic Social,8
2023-03-26,Paid Search,582
2023-03-26,Paid Social,280
2023-03-26,Payment Redirects,105
2023-03-26,Referral,24
2023-03-26,SMS,1305
2023-03-26,Unassigned,146
2023-03-27,Affiliates,413
2023-03-27,Cross-network,351
2023-03-27,Direct,1186
2023-03-27,Display,1
2023-03-27,Email,1366
2023-03-27,Organic Search,299
2023-03-27,Organic Shopping,24
2023-03-27,Organic Social,13
2023-03-27,Paid Search,447
2023-03-27,Paid Social,289
2023-03-27,Payment Redirects,117
2023-03-27,Referral,21
2023-03-27,SMS,1176
2023-03-27,Unassigned,122
2023-03-28,Affiliates,344
2023-03-28,Cross-network,388
2023-03-28,Direct,1228
2023-03-28,Display,3
2023-03-28,Email,1115
2023-03-28,Organic Search,212
2023-03-28,Organic Shopping,16
2023-03-28,Organic Social,8
2023-03-28,Paid Search,543
2023-03-28,Paid Social,181
2023-03-28,Payment Redirects,107
2023-03-28,Referral,8
2023-03-28,SMS,1294
2023-03-28,Unassigned,92
2023-03-29,Affiliates,285
2023-03-29,Cross-network,268
2023-03-29,Direct,821
2023-03-29,Display,1
2023-03-29,Email,698
2023-03-29,Organic Search,280
2023-03-29,Organic Shopping,16
2023-03-29,Organic Social,10
2023-03-29,Paid Search,470
2023-03-29,Paid Social,185
2023-03-29,Payment Redirects,83
2023-03-29,Referral,21
2023-03-29,SMS,695
2023-03-29,Unassigned,128
2023-03-30,Affiliates,356
2023-03-30,Cross-network,307
2023-03-30,Direct,809
2023-03-30,Display,8
2023-03-30,Email,720
2023-03-30,Organic Search,308
2023-03-30,Organic Shopping,24
2023-03-30,Organic Social,3
2023-03-30,Paid Search,492
2023-03-30,Paid Social,228
2023-03-30,Payment Redirects,95
2023-03-30,Referral,29
2023-03-30,SMS,707
2023-03-30,Unassigned,79
2023-03-31,Affiliates,696
2023-03-31,Cross-network,398
2023-03-31,Direct,2142
2023-03-31,Email,2381
2023-03-31,Organic Search,420
2023-03-31,Organic Shopping,26
2023-03-31,Organic Social,27
2023-03-31,Paid Search,909
2023-03-31,Paid Social,321
2023-03-31,Payment Redirects,147
2023-03-31,Referral,12
2023-03-31,SMS,3120
2023-03-31,Unassigned,389
2023-04-01,Affiliates,685
2023-04-01,Cross-network,446
2023-04-01,Direct,2053
2023-04-01,Email,2461
2023-04-01,Organic Search,361
2023-04-01,Organic Shopping,43
2023-04-01,Organic Social,10
2023-04-01,Paid Search,685
2023-04-01,Paid Social,292
2023-04-01,Payment Redirects,122
2023-04-01,Referral,21
2023-04-01,SMS,1428
2023-04-01,Unassigned,377
2023-04-02,Affiliates,271
2023-04-02,Cross-network,279
2023-04-02,Direct,1059
2023-04-02,Email,625
2023-04-02,Organic Search,233
2023-04-02,Organic Shopping,9
2023-04-02,Organic Social,1
2023-04-02,Paid Search,589
2023-04-02,Paid Social,264
2023-04-02,Payment Redirects,120
2023-04-02,Referral,19
2023-04-02,SMS,648
2023-04-02,Unassigned,119
2023-04-03,Affiliates,253
2023-04-03,Cross-network,235
2023-04-03,Direct,803
2023-04-03,Email,491
2023-04-03,Organic Search,157
2023-04-03,Organic Shopping,33
2023-04-03,Organic Social,4
2023-04-03,Paid Search,508
2023-04-03,Paid Social,207
2023-04-03,Payment Redirects,73
2023-04-03,Referral,10
2023-04-03,SMS,539
2023-04-03,Unassigned,96
2023-04-04,Affiliates,261
2023-04-04,Cross-network,240
2023-04-04,Direct,841
2023-04-04,Display,4
2023-04-04,Email,505
2023-04-04,Organic Search,183
2023-04-04,Organic Shopping,31
2023-04-04,Organic Social,4
2023-04-04,Paid Search,413
2023-04-04,Paid Social,236
2023-04-04,Payment Redirects,90
2023-04-04,Referral,14
2023-04-04,SMS,498
2023-04-04,Unassigned,76
2023-04-05,Affiliates,369
2023-04-05,Cross-network,282
2023-04-05,Direct,1119
2023-04-05,Display,4
2023-04-05,Email,883
2023-04-05,Organic Search,246
2023-04-05,Organic Shopping,3
2023-04-05,Organic Social,4
2023-04-05,Paid Search,456
2023-04-05,Paid Social,234
2023-04-05,Payment Redirects,100
2023-04-05,Referral,12
2023-04-05,SMS,689
2023-04-05,Unassigned,136
2023-04-06,Affiliates,428
2023-04-06,Cross-network,290
2023-04-06,Direct,1349
2023-04-06,Email,823
2023-04-06,Organic Search,231
2023-04-06,Organic Shopping,34
2023-04-06,Organic Social,15
2023-04-06,Paid Search,625
2023-04-06,Paid Social,397
2023-04-06,Payment Redirects,78
2023-04-06,Referral,21
2023-04-06,SMS,693
2023-04-06,Unassigned,114
2023-04-07,Affiliates,421
2023-04-07,Cross-network,337
2023-04-07,Direct,1370
2023-04-07,Display,23
2023-04-07,Email,816
2023-04-07,Organic Search,202
2023-04-07,Organic Shopping,21
2023-04-07,Organic Social,13
2023-04-07,Paid Search,581
2023-04-07,Paid Social,324
2023-04-07,Payment Redirects,138
2023-04-07,Referral,25
2023-04-07,SMS,689
2023-04-07,Unassigned,71
2023-04-08,Affiliates,413
2023-04-08,Cross-network,284
2023-04-08,Direct,1188
2023-04-08,Display,1
2023-04-08,Email,808
2023-04-08,Organic Search,236
2023-04-08,Organic Shopping,40
2023-04-08,Organic Social,10
2023-04-08,Paid Search,539
2023-04-08,Paid Social,356
