channel,sty_id,color_id,inventory_class,season_code,retail_delivery,original_price,first_receipt_date,last_receipt_date,first_sale_date,net_sales_units_ltd,net_sales_cost_ltd,net_sales_retail_ltd
003:Outlet,101060,4100,OP,18F3,OCT: OCTOBER,69,8/20/2018,1/23/2020,2018-09-21,2388,17957.36961,54025.55912
003:Outlet,101070,FCSD,FP,18M1,MAY: MAY,329,4/12/2018,9/19/2019,2018-07-25,106,4827.200205,9320.001209
003:Outlet,101072,FAUL,FP,18M1,MAY: MAY,179,5/31/2018,11/23/2019,2018-07-08,100,4364.099154,5453.534386
003:Outlet,101073,FBCD,FP,18M1,MAY: MAY,189,5/24/2018,11/23/2019,2018-07-22,33,954.663875,2769.456537
003:Outlet,101076,FBTM,FP,18M3,MAY: MAY,199,5/31/2018,11/23/2019,2018-07-23,81,3356.661349,4891.775017
003:Outlet,101094,FEIM,OP,18F1,AUG: AUGUST,219,7/3/2018,5/10/2021,2018-07-19,3044,105878.8973,295526.0464
003:Outlet,101103,2S,OP,18F1,AUG: AUGUST,249,7/26/2018,8/10/2018,2018-08-10,2860,76886.47676,245606.993
003:Outlet,101104,FEGD,OP,18F1,AUG: AUGUST,229,6/27/2018,7/24/2018,2018-07-27,2791,63972.76261,164221.8541
003:Outlet,101108,FEXL,OP,18F2,SEP: SEPTEMBER,249,8/24/2018,9/7/2018,2018-09-06,1706,45897.12921,127617.0466
003:Outlet,101114,FERD,OP,18F2,SEP: SEPTEMBER,199,8/1/2018,2/5/2021,2018-08-17,3780,84234.83786,324423.8615
003:Outlet,101120,FETM,OP,18F2,SEP: SEPTEMBER,249,7/24/2018,8/2/2018,2018-08-18,2750,73216.82308,202149.4884
003:Outlet,101126,FEVM,OP,18F2,SEP: SEPTEMBER,249,7/24/2018,11/25/2019,2018-08-23,3944,96958.0957,266311.2646
003:Outlet,101176,FKBM,FP,18F1,AUG: AUGUST,179,7/25/2018,9/18/2019,2018-08-22,171,6237.901263,8260.059496
003:Outlet,101185,1700,FP,18S1,FEB: FEBRUARY,79,5/17/2018,9/19/2019,2019-09-28,77,1650.212775,1482.222576
003:Outlet,101213,4000,FP,18F1,AUG: AUGUST,69,6/28/2018,11/23/2019,2018-08-10,351,4339.978957,6490.765515
003:Outlet,101213,6000,FP,18F1,AUG: AUGUST,69,6/28/2018,11/23/2019,2018-08-10,203,2393.35442,4011.873423
003:Outlet,101214,3443,FP,18F1,AUG: AUGUST,79,6/28/2018,9/7/2018,2018-07-27,252,4579.587148,6875.12521
003:Outlet,101216,1001,FP,18F2,SEP: SEPTEMBER,69,7/23/2018,11/25/2019,2018-08-20,217,2678.92509,3113.691769
003:Outlet,101222,1708,OP,18F1,AUG: AUGUST,149,7/5/2018,7/10/2018,2018-07-27,1976,35219.00781,75469.9756
003:Outlet,101223,1239,OP,18F2,SEP: SEPTEMBER,159,7/18/2018,9/11/2018,2018-08-18,3372,68027.29705,181298.9237
003:Outlet,101224,1239,OP,18F2,SEP: SEPTEMBER,149,7/30/2018,9/18/2019,2018-08-18,1597,30163.18862,77005.59133
003:Outlet,101225,1239,OP,18F2,SEP: SEPTEMBER,79,7/30/2018,11/7/2018,2018-08-16,3400,37668.83811,94576.16526
003:Outlet,101244,FEFL,OP,18M2,MAY: MAY,229,6/11/2018,6/12/2018,2018-06-17,2621,49494.12174,134106.6052
003:Outlet,101247,FKEM,FP,18F1,AUG: AUGUST,329,7/17/2018,9/19/2019,2018-10-26,152,7500.543543,8750.299704
003:Outlet,101256,FKTM,FP,18F1,AUG: AUGUST,329,7/12/2018,9/18/2019,2018-12-08,65,2812.500779,4213.437045
003:Outlet,101267,FLHD,FP,18F3,OCT: OCTOBER,349,8/31/2018,11/25/2019,2018-12-09,97,4390.588564,4856.574456
003:Outlet,101269,1081,OP,18F1,AUG: AUGUST,89,6/29/2018,6/29/2018,2018-07-20,2245,23167.25775,56251.4313
003:Outlet,101270,1839,OP,18F1,AUG: AUGUST,149,7/26/2018,7/26/2018,2018-08-10,1703,32210.7387,54765.37355
003:Outlet,101274,CAM,FP,18F1,AUG: AUGUST,179,8/22/2018,9/19/2019,2018-10-04,924,25032.91701,33253.86954
003:Outlet,101276,FJZM,FP,18F2,AUG: AUGUST,199,8/22/2018,9/7/2018,2018-10-22,270,8857.482008,13020.38966
003:Outlet,101278,FKYD,FP,18F2,SEP: SEPTEMBER,199,8/6/2018,4/14/2021,2018-09-07,72,4213.071126,5890.4455
003:Outlet,101290,FGFD,OP,18F3,OCT: OCTOBER,139.99,9/24/2018,9/26/2018,2019-02-07,320,9440,14820.3
003:Outlet,101296,1100,FP,18H1,NOV: NOVEMBER,89,10/17/2018,11/23/2019,2018-12-07,39,773.2231458,684.062285
003:Outlet,101296,1700,FP,18H1,NOV: NOVEMBER,89,10/17/2018,11/23/2019,2018-11-23,90,1748.470076,1892.683204
003:Outlet,101296,4000,FP,18H1,NOV: NOVEMBER,89,10/17/2018,9/19/2019,2019-02-04,142,2786.895135,2985.898938
003:Outlet,101311,1200,FP,18H1,NOV: NOVEMBER,149,10/29/2018,11/23/2019,2018-11-16,164,5541.956033,5212.748992
003:Outlet,101311,4000,FP,18H1,DEC: DECEMBER,149,10/29/2018,11/23/2019,2018-11-22,241,7819.889439,7252.179817
003:Outlet,101312,4000,FP,18H1,DEC: DECEMBER,129,10/29/2018,9/18/2019,2018-11-22,121,2604.788934,4115.737496
003:Outlet,101345,FPTD,OP,18H1,NOV: NOVEMBER,139,10/23/2018,11/25/2019,2018-11-16,258,7354.086089,13911.95558
003:Outlet,101347,FPTD,OP,18H1,NOV: NOVEMBER,199,10/15/2018,9/20/2022,2018-10-27,3289,100389.9615,259220.4447
003:Outlet,101351,FPTD,OP,18H1,NOV: NOVEMBER,139,10/4/2018,11/25/2019,2018-10-12,3973,112433.4128,241463.9359
003:Outlet,101353,FPTD,OP,18H1,NOV: NOVEMBER,159,10/3/2018,3/15/2021,2018-10-12,1761,49450.89099,116319.1147
003:Outlet,101355,FPTD,OP,18H1,NOV: NOVEMBER,89,10/1/2018,11/25/2019,2018-10-14,797,18889.98956,29909.25427
003:Outlet,101357,ESYD,OP,18H1,NOV: NOVEMBER,219,10/30/2018,9/18/2019,2018-11-11,3282,130267.7645,332181.843
003:Outlet,101358,ESYD,OP,18H1,NOV: NOVEMBER,199,10/22/2018,11/23/2019,2018-10-27,3671,144320.5375,357263.1406
003:Outlet,101372,FQAD,OP,18H1,NOV: NOVEMBER,199,10/3/2018,4/8/2021,2018-11-02,3712,107861.241,286262.8597
003:Outlet,101383,1001,OP,18H1,NOV: NOVEMBER,69,10/26/2018,11/25/2019,2018-11-10,1163,21982.74811,47498.72625
003:Outlet,101384,6063,OP,18H1,NOV: NOVEMBER,89,10/19/2018,2/5/2019,2018-11-03,246,6265.44458,11313.81115
003:Outlet,101385,6063,OP,18H1,NOV: NOVEMBER,79,10/19/2018,11/25/2019,2018-11-03,177,3863.53312,7892.01646
003:Outlet,101386,1081,OP,18H1,NOV: NOVEMBER,99,10/25/2018,10/29/2018,2018-11-08,361,8704.122632,19644.24063
